feature,p-value,effect_size,q-value
RNF43,2.686783058283799e-31,0.7055692211128491,2.4014466974940596e-27
MYB,1.0342515883286017e-30,0.6985621599975211,4.622070348240521e-27
PIP5K1B,2.8885428778367057e-30,0.6931761354088735,8.605932080701492e-27
PRR15L,5.7793613638954364e-30,0.6895157303486273,1.2913982967624353e-26
GPA33,1.0755176324587442e-29,0.6862213657944061,1.893542177498415e-26
GPR35,2.0551100523215273e-29,0.6827701267376026,2.6240819496642587e-26
CDX2,5.448306568818787e-29,0.6775409766515369,4.513828296751425e-26
KCNE3,5.555170201864587e-29,0.6774363936498156,4.513828296751425e-26
KCNQ1,2.147927817256025e-28,0.6701155835293235,1.3712984879024537e-25
SLC12A2,1.2664935677338858e-27,0.6603893643692413,6.658776181414983e-25
ANKRD40CL,1.7468832285927337e-27,0.6586114533399788,8.674245720645475e-25
C9orf152,3.441864005146702e-27,0.6548464652780116,1.6191252883158538e-24
HEPH,4.075366357687549e-27,0.6539052182625198,1.8212812252505653e-24
PHGR1,6.269078836477595e-27,0.6514998092229296,2.5469557563834886e-24
POF1B,9.276511982109061e-27,0.6493035661867819,3.604933221569165e-24
EPS8L3,2.620826110376412e-26,0.6434469180903882,9.760393239393488e-24
KDM7A,2.8477979612610055e-26,0.6429762945826424,1.0157793767236806e-23
TDGF1,2.9548292453362826e-26,0.6427671285791997,1.0157793767236806e-23
LGALS4,3.895320117694228e-26,0.6411983835533801,1.2434418289982504e-23
FUT2,8.414724493784345e-26,0.6368058974810848,2.5934761215670508e-23
FUT4,1.2231664689271635e-25,0.634661945945798,3.5266651287970927e-23
MUC13,1.2801450734984042e-25,0.6344004884414945,3.57560520841523e-23
ASCL2,1.5637525289360797e-25,0.6332500754225602,4.066618662872587e-23
HNF4A,1.5924329066965825e-25,0.6331454924208387,4.066618662872587e-23
VIL1,1.6969809677815052e-25,0.6327794519148142,4.213226636119748e-23
TMPRSS2,2.090760208052136e-25,0.6315767473950191,5.05059857826216e-23
CDH17,5.250193248272013e-25,0.6262430143072321,1.2250627804065543e-22
CALML4,6.45478937753708e-25,0.625040309787437,1.4423226864106604e-22
BTNL3,6.811707559467296e-25,0.624726560782273,1.4849522479638704e-22
AXIN2,1.0374160983377924e-24,0.6222688602418222,2.0605389082095976e-22
PIWIL4,1.0009948262784378e-24,0.6224780262452647,2.0605389082095976e-22
MYO1A,1.3083249378682498e-24,0.620909281219445,2.4880443180141315e-22
TSPAN8,1.6200754023674951e-24,0.6196542851987892,3.0167154054918065e-22
EPCAM,1.9525454279104117e-24,0.6185561636807154,3.5616022519720935e-22
BCL2L14,2.437385101948218e-24,0.617248876159199,4.357069608242634e-22
CLRN3,3.929155037966085e-24,0.6144251351127235,6.88603680967468e-22
ZNF703,5.44315461203461e-24,0.6124903495808791,8.68766355756524e-22
AOC1,5.588671958088858e-24,0.6123334750782972,8.76342981778916e-22
CCNI2,8.819732954406144e-24,0.6096143170335431,1.3361147990929171e-21
MISP3,1.3891111627858018e-23,0.6068951589887889,2.03538943819336e-21
PPP1R1B,1.6678736461394538e-23,0.605797037470715,2.258705249877945e-21
SYK,1.653423662752092e-23,0.6058493289715757,2.258705249877945e-21
IL22RA1,1.6678736461394538e-23,0.605797037470715,2.258705249877945e-21
ATP10B,1.851339912719411e-23,0.6051695394603871,2.4334229617479552e-21
USH1C,2.2606144695962725e-23,0.6039668349405921,2.9283148013407946e-21
GUCY2C,3.2804939368322693e-23,0.6017183004035838,4.072368723250948e-21
EPB41L4B,3.425347645413168e-23,0.6014568428992805,4.1939393499593006e-21
TLDC2,3.7022202336853893e-23,0.6009862193915346,4.471681682254055e-21
LRRC75A,4.5145444494927844e-23,0.5997835148717394,5.3093418802061194e-21
MUC3A,4.836598857445096e-23,0.5993651828648542,5.614223452966788e-21
