feature,p-value,effect_size,q-value
TP63,5.683738237035768e-17,0.5076032776108504,4.046024798351206e-13
NTF4,1.1793701475186826e-16,0.5023624340979549,4.046024798351206e-13
FAT2,1.8107070030661024e-16,0.49925930307058247,4.046024798351206e-13
HCAR2,1.8107070030661024e-16,0.49925930307058247,4.046024798351206e-13
SERPINB13,2.7991375193732387e-16,0.4960872135759351,4.496699305116935e-13
EFS,3.0185942974604624e-16,0.4955355458377356,4.496699305116935e-13
ANKRD65,3.576277954417691e-16,0.49429429342678666,4.566396050940761e-13
MARK1,4.2751704020864847e-16,0.4929840825485627,4.776434131731125e-13
CSTA,6.573710672374085e-16,0.4898119930539153,6.528425109964397e-13
CDH8,9.447458240786402e-16,0.48712261283019265,8.444138175614886e-13
CAPNS2,1.3426742808303832e-15,0.48450219107374476,1.0569640525062489e-12
DSG3,1.4190611579855658e-15,0.4840884402700952,1.0569640525062489e-12
IRX4,1.5703814567938238e-15,0.4833298971300708,1.0796976508325536e-12
TPRG1,2.4615540814483944e-15,0.47995093223359864,1.5715264557132679e-12
HOXD11,3.743284774613416e-15,0.47677884273895127,1.892818976087167e-12
CLCA2,3.811897691829157e-15,0.47664092580440137,1.892818976087167e-12
NKX1-2,3.2070989387027977e-15,0.4779511366826253,1.892818976087167e-12
CRISPLD1,3.4492749632690767e-15,0.4773994689444257,1.892818976087167e-12
DLL1,5.728544767947926e-15,0.47353779477702895,2.560086656795928e-12
FOXE1,6.047094082854206e-15,0.4731240439733793,2.5737584244071854e-12
KRT6A,7.305472590199344e-15,0.4716759161606055,2.897279545941168e-12
STON2,7.572844690821376e-15,0.47140008229150576,2.897279545941168e-12
SLC52A1,7.77967208576729e-15,0.4711932068896809,2.897279545941168e-12
TNNT3,1.0836263521206159e-14,0.4686417436005081,3.874180934101626e-12
KRT5,1.3068508252859782e-14,0.4671936157877343,4.492551029386951e-12
PTHLH,1.4934176803056026e-14,0.46615923877861015,4.943765639470918e-12
LY6K,1.9833679877507735e-14,0.463952567825812,6.331193955184434e-12
SPARCL1,3.24847307740453e-14,0.4600908936584152,1.0012018057186789e-11
SOST,3.836949733310442e-14,0.4587806827801913,1.1431552238776244e-11
SEMA4A,3.9735910754230146e-14,0.45850484891109156,1.1456760332945453e-11
HOXC13,4.374510722660696e-14,0.4577463057710672,1.1804964037915825e-11
ZNF385A,4.451563143055306e-14,0.4576083888365173,1.1804964037915825e-11
DLK2,4.4905882444522045e-14,0.4575394303692424,1.1804964037915825e-11
HAP1,4.6908163385373795e-14,0.45719463803286764,1.1851149780569495e-11
S1PR5,4.773342941379523e-14,0.45705672109831774,1.1851149780569495e-11
IRF6,6.196842355268946e-14,0.4549879670800695,1.4969561343619957e-11
ZNF750,7.119003747221525e-14,0.4538846316036704,1.631529628017077e-11
FEZ1,7.057612638179857e-14,0.4539535900709453,1.631529628017077e-11
DLX5,9.969718970553628e-14,0.45119525137994765,2.227733703970208e-11
SOX15,1.1840333307085524e-13,0.44981608203444884,2.581192660944644e-11
BICD2,1.3698374256267667e-13,0.44864378809077476,2.915144502440962e-11
SLCO1A2,1.8471422406051136e-13,0.44623024173615183,3.8394784526810477e-11
BNC1,2.0284519026001152e-13,0.44547169859612745,4.120523433054507e-11
ARHGEF4,2.8961028206614093e-13,0.4425754429705799,5.3927847939732654e-11
JAG2,2.8961028206614093e-13,0.4425754429705799,5.3927847939732654e-11
LPAR3,2.7296486613837014e-13,0.44305815224150447,5.3927847939732654e-11
HOXD10,2.847553001446561e-13,0.4427133599051298,5.3927847939732654e-11
SVEP1,3.8250818323857063e-13,0.4402998135505068,6.977261513849681e-11
NGFR,3.922790949479834e-13,0.44009293814868194,7.01238110129015e-11
DSC3,4.091113347279507e-13,0.4397481458123072,7.151105628367466e-11
STOX2,4.160410524447396e-13,0.43961022887775736,7.151105628367466e-11
ANXA8,4.797906218481361e-13,0.4384379349340833,8.075548700906184e-11
GJB5,4.878939693991205e-13,0.43830001799953344,8.075548700906184e-11
SH3GL3,5.531052481390274e-13,0.4372656409904093,8.98846310521205e-11
CDH3,6.268532856633815e-13,0.43623126398128514,9.66002528837811e-11
KRT17,6.164890002088939e-13,0.43636918091583504,9.66002528837811e-11
PAX9,6.062929937709733e-13,0.43650709785038494,9.66002528837811e-11
HOMER2,6.869887124017317e-13,0.4354727208412608,1.0407296799062165e-10
ANXA8L1,7.91228885953502e-13,0.4343004268975868,1.1786672971087333e-10
ST6GALNAC2,9.494296076090512e-13,0.43278334061753804,1.3800769306392243e-10
ELOVL4,9.573144965275443e-13,0.43271438215026314,1.3800769306392243e-10
GPR87,9.732775571118306e-13,0.43257646521571325,1.3808182230897686e-10
EXOC6B,1.0312324832557537e-12,0.43209375594478866,1.4401806148968637e-10
EDARADD,1.0746889880828818e-12,0.4317489636084139,1.4777800269976613e-10
ARTN,1.1479845655282258e-12,0.4311972958702144,1.5546494010138306e-10
KRT13,1.3645291685084095e-12,0.42974916805744057,1.8203226430042035e-10
ABCA13,1.7448996603047973e-12,0.4276804140391923,2.260277270116562e-10
ABCC5,1.8934594548312e-12,0.4269908293664429,2.4176772296116097e-10
HOXD9,2.0047631773825704e-12,0.4265081200955183,2.523742715414847e-10
RNF144B,2.2106836521447894e-12,0.42568061848821903,2.7443181226208513e-10
SNCA,2.5383254667952044e-12,0.424508324544545,3.1078839756459636e-10
GJB6,2.708552121751319e-12,0.4239566568063454,3.2714917384072017e-10
MCC,3.1846192786580926e-12,0.4225774874608466,3.795216948352804e-10
FGF12,3.6530564257598625e-12,0.4214051935171726,4.2961866228212704e-10
HCAR3,3.772736597313156e-12,0.4211293596480728,4.379314247634414e-10
RIMKLB,3.927753377184193e-12,0.4207845673116981,4.500802523752862e-10
BLCAP,4.539268838034938e-12,0.41954331490074914,5.1356942878932e-10
