feature,p-value,effect_size,q-value,in_group_gene_effect_mean,out_group_gene_effect_mean
CTNNB1,9.759774078707812e-06,-2.7018128670978494,0.0489745463269558,-1.1040328991256478,-0.2929468026235134
TM4SF19,0.0003459071710952619,2.0804860823215994,0.7730541133713993,0.31071324234008013,0.1358146626896342
TRAPPC10,0.0004621686608438018,2.028082297679724,0.7730541133713993,0.07070356134917027,-0.09164251602573951
IPO8,0.0006638225232623721,-1.9619616433234173,0.8327653554326458,-0.08983745215762842,0.07117389131453397
ARL6IP1,0.8300043802176815,0.11412032637668743,0.9994933105060151,-0.1020821118032478,-0.11257386293688358
ACTG2,0.8713345696156436,-0.08607904650652075,0.9994933105060151,-0.09148573071581723,-0.08098720336379156
YAP1,0.8714424441028857,-0.08600621726310843,0.9994933105060151,-0.3821780022970105,-0.3575311082133292
ALX4,0.8717012285742225,-0.08583151109374373,0.9994933105060151,-0.047808461252362974,-0.03913292325783162
MARCHF5,0.8719952119301129,-0.08563305376053562,0.9994933105060151,-0.4061447751236792,-0.37796487403380197
FSBP,0.8723773218191647,-0.08537512401652644,0.9994933105060151,0.009942952936542248,0.01994939826706179
WWOX,0.873149255716161,-0.08485412114806117,0.9994933105060151,0.1038527269089225,0.11668364144413726
PGRMC1,0.8733930907621923,-0.0846895667381768,0.9994933105060151,-0.0475827765602095,-0.03683238868974803
DMAC1,0.8751814073662045,-0.0834829612784398,0.9994933105060151,-0.16417682819560625,-0.1475917035845401
CRABP2,0.8753885278464593,-0.08334324287245105,0.9994933105060151,-0.05436118354074208,-0.04618160538693393
C1orf115,0.8759738352028503,-0.08294844122511535,0.9994933105060151,0.05114300405587903,0.05897063492655804
ETNK2,0.8771797526292984,-0.08213517542600648,0.9994933105060151,0.03124267138397223,0.043088983387908265
IDH1,0.877422460893045,-0.08197151821800537,0.9994933105060151,-0.03919563776665588,-0.02779513644334897
ETFA,0.8782390116863464,-0.08142098058060093,0.9994933105060151,0.04017327343239267,0.04824954815862991
RTKN,0.8786363746014412,-0.08115310213588678,0.9994933105060151,-0.07076158505923741,-0.056205220030307215
FOXRED2,0.8792065020749981,-0.08076879355583808,0.9994933105060151,-0.19214236227941472,-0.18150181819544606
SAMHD1,0.8712853618114315,-0.08611226870296015,0.9994933105060151,-0.28684540051889174,-0.27481879914360924
ZSCAN30,0.8709281047987424,-0.08635347799762653,0.9994933105060151,-0.0183699892423605,-0.008649671455030457
DAZAP2,0.8708944562442458,-0.08637619745245742,0.9994933105060151,-0.0687575919049776,-0.05530064674936117
LDB1,0.8700463958188922,-0.08694886097302512,0.9994933105060151,-0.17078417995776,-0.1558124468489709
NFE2L3,0.8622818719785724,-0.0921969309612058,0.9994933105060151,-0.27463179518398295,-0.2633372326322317
TM9SF1,0.8632157309675987,-0.09156524768835413,0.9994933105060151,-0.1587444095316902,-0.14936079864981383
THAP7,0.8638948570455411,-0.09110595606717711,0.9994933105060151,-0.26429626333730716,-0.2460884569927857
OR5H14,0.8639121456434946,-0.09109426474818494,0.9994933105060151,0.07707801181133449,0.08760600168936548
TLE1,0.8663146565181545,-0.08947002331019109,0.9994933105060151,-0.11922054644970942,-0.1041168463315349
MIEN1,0.8677177555565925,-0.08852184726342341,0.9994933105060151,-0.12947042548422966,-0.1153180501142641
MARCHF7,0.8677992223104736,-0.08846680328884739,0.9994933105060151,-0.017233329474187178,-0.008430701362496617
DCUN1D4,0.879564421470041,-0.0805275515688271,0.9994933105060151,0.025390397620353253,0.03939219381982231
KCTD7,0.8678307445534209,-0.08844550517803673,0.9994933105060151,-0.07046879028836948,-0.06031776220605873
C16orf87,0.8679109227673131,-0.08839133316071689,0.9994933105060151,-0.007439625062380575,0.00080145562726866
ATP6V1B1,0.868166523579198,-0.08821864410050811,0.9994933105060151,-0.14767496831694635,-0.13837483359715566
C2orf49,0.8687291021432209,-0.0878385887952564,0.9994933105060151,-0.2287998173696086,-0.21887155364007946
DPF1,0.8689921394014439,-0.0876609075181805,0.9994933105060151,-0.13535358123692473,-0.1228912881042416
EFNA1,0.8694827476252885,-0.08732952961620585,0.9994933105060151,0.002203826327914349,0.013880511515783662
HMGB1,0.8695237080482594,-0.0873018647839867,0.9994933105060151,-0.608661804826931,-0.5740870480439464
EMC6,0.8697125531154868,-0.087174321258418,0.9994933105060151,-0.1593080176892857,-0.13749446556039363
EPB42,0.867858118882454,-0.08842700973929686,0.9994933105060151,-0.13060559725605528,-0.12072382069365603
SPTBN2,0.8615979840522184,-0.09265961409645627,0.9994933105060151,-0.06270186621709536,-0.05257117413874313
CCDC80,0.8796272639596853,-0.08048519675665905,0.9994933105060151,-0.008877372013640122,-0.0006211281941935909
FERMT1,0.8798712388319898,-0.08032076671444593,0.9994933105060151,-0.14467859224631224,-0.12223346457668038
B3GNT2,0.8887237311890892,-0.07435979030709117,0.9994933105060151,-0.2087188045451484,-0.19197360643796219
TBX6,0.8890931438827372,-0.07411125688279177,0.9994933105060151,-0.14304109957726135,-0.1339085580376203
SMIM14,0.8892358487766828,-0.07401525242231106,0.9994933105060151,0.059600707403173595,0.06559194281295862
POLG2,0.8898591276448822,-0.0735959721059428,0.9994933105060151,-0.3140943155395532,-0.29390405508225453
PSEN1,0.8899496556970814,-0.07353507776621546,0.9994933105060151,-0.12387547128076683,-0.11317972505210076
RIF1,0.8899982710356197,-0.07350237672686773,0.9994933105060151,-0.3007184974406767,-0.28516840591999854
GDF11,0.8900075340910085,-0.07349614597849374,0.9994933105060151,-0.1114384575042886,-0.10027812666697801
SLC9A6,0.8902896162582568,-0.07330640983516334,0.9994933105060151,-0.007349833081689874,0.002184198731470397
PRSS8,0.8918175418668737,-0.07227885379761961,0.9994933105060151,-0.0065590412071658,0.0007291315543300554
RHBDF1,0.891908071372655,-0.07221798002376012,0.9994933105060151,-0.20160126606469117,-0.19047123896932006
MAP2K1,0.8930869027150916,-0.07142540095467385,0.9994933105060151,-0.20456793042207244,-0.18617898473243563
FAM81B,0.8931085936116072,-0.07141081878560773,0.9994933105060151,0.04716592721608122,0.0551987448735787
LRRC47,0.8935586328658214,-0.07110828287876843,0.9994933105060151,0.06532745249967414,0.07740007055259131
STK11,0.8943783795666234,-0.07055727514034613,0.9994933105060151,-0.14535772082923681,-0.12009298519619581
POGLUT3,0.8946633589645014,-0.07036573954702402,0.9994933105060151,0.1083493939369629,0.11388313594757826
GBP1,0.8886161493246659,-0.07443217239967886,0.9994933105060151,-0.0568271038127666,-0.04934543374204182
SHISA7,0.8877994752746515,-0.07498168536086386,0.9994933105060151,-0.05664385148145285,-0.0477471878307537
TRIM11,0.8876949879834724,-0.0750519974112446,0.9994933105060151,-0.07165242693615889,-0.06029452919195861
ASL,0.8872715733181056,-0.07533693749142263,0.9994933105060151,-0.09362663948150932,-0.08160998790686491
PPFIA2,0.8800111927581586,-0.08022644655578892,0.9994933105060151,-0.02776313915433533,-0.01866499915385988
NSUN2,0.8809740041342482,-0.07957764324161466,0.9994933105060151,0.03213603807915275,0.04132586254315413
WDR24,0.8812124316141333,-0.079416994801142,0.9994933105060151,-0.43898761716614826,-0.4086592111597001
TIPARP,0.8819400482504857,-0.07892678552275974,0.9994933105060151,-0.5615001962303505,-0.5346171655152911
SELE,0.8823142934111827,-0.07867467662299656,0.9994933105060151,0.020556669113735746,0.02881136996576657
MIGA2,0.8824829243802224,-0.07856108500480236,0.9994933105060151,-0.11439095920241807,-0.10547052177370496
BCORL1,0.8838204381708982,-0.07766025328876826,0.9994933105060151,0.012556574202035303,0.026290290528993825
AP1M2,0.8798579529663291,-0.08032972069047384,0.9994933105060151,-0.0064470007544789746,0.0017976053998745396
KAZN,0.8843128043106685,-0.0773286973459546,0.9994933105060151,0.13719999868834065,0.14480567536249386
CKAP2,0.8847433004992831,-0.07703882986679605,0.9994933105060151,-0.10852289001976786,-0.09786802414071538
LILRA4,0.8852810173998167,-0.07667680058445789,0.9994933105060151,-0.022513122524935328,-0.013694797337348213
PFKFB4,0.885835211194268,-0.07630371662769801,0.9994933105060151,-0.241309738696611,-0.23147559794952305
MSLN,0.8863260875750754,-0.07597329071914045,0.9994933105060151,0.054219314491992264,0.06087570334522821
GAPT,0.8864240277819396,-0.07590736743225054,0.9994933105060151,-0.058186591078962055,-0.049564561323846595
SPINT1,0.8867515477628265,-0.07568692344635955,0.9994933105060151,-0.3722590541181291,-0.3610498823189662
TNFAIP3,0.8871989120839779,-0.07538583767829148,0.9994933105060151,-0.03750392876254888,-0.02604976479538005
PUS3,0.8847273877230403,-0.07704954404609189,0.9994933105060151,-0.0813900113593355,-0.06548965683638441
C16orf74,0.8950434882732987,-0.07011026818623707,0.9994933105060151,0.0825596148172632,0.08882625555952943
TMF1,0.8613267370750447,-0.09284314596631059,0.9994933105060151,-0.08836130702170666,-0.08161744980919948
CYP2B6,0.8612735407891909,-0.09287914113291454,0.9994933105060151,0.0715487766221998,0.08036619307336779
KCNS1,0.838203091630554,-0.10853400431549942,0.9994933105060151,-0.033808595140516706,-0.017897259946733763
RHOT1,0.8382287416024428,-0.1085165471910379,0.9994933105060151,-0.2741851676302124,-0.2584555225817154
FYTTD1,0.8386731953029222,-0.10821407559144128,0.9994933105060151,-0.033399489108468655,-0.01874408844729348
TSPYL2,0.8387798674143155,-0.10814148564275532,0.9994933105060151,0.0920810735005437,0.10542236425440885
KCNA7,0.8388826607879836,-0.10807153714504786,0.9994933105060151,0.03808777384919858,0.05347127046772933
MAIP1,0.8394704174331991,-0.10767161978740769,0.9994933105060151,-0.06913532388635255,-0.052394370191739106
RASGEF1A,0.8396583488965599,-0.10754376213633872,0.9994933105060151,-0.02508431285877852,-0.011699227284698958
PUS1,0.8406020200115158,-0.1069018408295163,0.9994933105060151,8.694480360042561e-05,0.013077572883982024
PIAS1,0.8414863830340702,-0.10630041039639791,0.9994933105060151,-0.2741217136756028,-0.24757009937006214
CBLC,0.8417739716187068,-0.1061048600302126,0.9994933105060151,-0.0669380267719557,-0.055284497705288795
LETM2,0.842469363177953,-0.10563207932439227,0.9994933105060151,0.03808959447835835,0.055156395371444934
RDM1,0.8427988083380987,-0.105408127523156,0.9994933105060151,-0.28083891912378706,-0.26667958973734507
ATP5MC1,0.8428156075918416,-0.10539670816842724,0.9994933105060151,-0.24059978144949382,-0.22659716147976144
KLF15,0.8445949955968961,-0.1041874480479655,0.9994933105060151,0.041166309576672805,0.05144719631889364
PCMTD1,0.8447983374282657,-0.10404929414647786,0.9994933105060151,-0.13469989895962117,-0.12402411835729235
NUDT19,0.8381499261565573,-0.10857018861427555,0.9994933105060151,0.03372462672824787,0.04263783313672024
SOGA1,0.838115885404969,-0.10859335694604447,0.9994933105060151,-0.14923235743252453,-0.13755337853844907
RENBP,0.8380479077979389,-0.10863962353965032,0.9994933105060151,-0.13446138761715248,-0.1161280220588603
RGS2,0.8379662060473168,-0.10869523212744131,0.9994933105060151,0.008690207570981816,0.020550354145023573
POU1F1,0.8300485036156197,-0.11409022765149944,0.9994933105060151,0.04993436614414147,0.06475861002285713
FOXL2,0.8304333257116763,-0.11382773782258827,0.9994933105060151,-0.1861273176135572,-0.17160728768187736
