feature,p-value,effect_size,q-value,in_group_gene_effect_mean,out_group_gene_effect_mean
IPO4,8.865796497802084e-08,-4.813101581933473,0.00044488566825970854,-0.4943132746555642,-0.03794938508970246
CRHBP,5.117680552339842e-07,-4.403415218425547,0.0012840260505820665,-0.18692876145427256,0.048952226889768545
ZBTB4,1.3755631532947925e-06,-4.173253482194743,0.00230085863441109,-0.41833175408245726,0.03477383333337679
RELB,2.2466780963529686e-06,-4.059064750896326,0.002434347313512016,-0.575852529773327,-0.06588734136608407
KPNA2,2.425615099155058e-06,-4.041221134083855,0.002434347313512016,-1.2234286170325253,-0.3545627877441078
HSD3B1,1.2502166262448994e-05,-3.658173110954426,0.01045597838416151,-0.6306720471107148,-0.2181186741253575
SPTY2D1,1.6421755686608908e-05,-3.594099219265779,0.0117720528622005,-0.2979200591984966,0.037298124487216276
RAB5C,3.388019940758828e-05,-3.4231182696448976,0.02125135507840975,-0.7156689527983024,-0.16124810261215305
CMTM5,5.744232953942415e-05,-3.2975352260244493,0.0310489595753774,-0.4755345513890169,-0.12887381441901896
UNC45B,7.598846663805074e-05,-3.2305862500153664,0.0310489595753774,-0.45514482876686285,-0.15355234646853966
LDAF1,7.950618356879942e-05,-3.219729867853811,0.0310489595753774,-0.21974632276458017,0.06699208012795793
ATP2C2,8.043771910719534e-05,-3.2169340446879833,0.0310489595753774,-0.3099410338139583,-0.011401597372789216
LAMTOR1,6.216777636766066e-05,3.2786490893746043,0.0310489595753774,0.12447151926633915,-0.24309116123590888
ATP1B4,0.00016004391151439054,-3.0507490844630216,0.048762422417596374,-0.20882273469213747,0.11090716376232922
TLCD3A,0.00016492226343237532,3.043444233893189,0.048762422417596374,0.2080506897271525,-0.049587439668633604
WDR47,0.00017491502660755973,-3.0291190888212745,0.048762422417596374,-0.39991858731302504,-0.11929600393817616
C9orf72,0.00015817023351294914,-3.0536128063451775,0.048762422417596374,-0.27535562322749685,0.0031788777007733817
HOXA7,0.00016583635602391617,-3.042099026729568,0.048762422417596374,-0.28659557356724463,0.02633704530538419
NMNAT1,0.00021976220351527758,-2.973359346146274,0.0580403545915612,-1.0771367956741682,-0.28805325596700987
TEX264,0.00024803313132322876,-2.943675225656336,0.059268107284760084,-0.39683600613006853,-0.029173476592722413
ALKBH6,0.00023898289884762846,-2.952801925997321,0.059268107284760084,-0.22015750008468085,0.20651863406800555
CELSR2,0.00027018956605587546,-2.9226350636313883,0.06162778374856287,-0.5565615063861411,-0.2824676818162558
HKDC1,0.00028904993483749083,-2.906010561877383,0.06306315534845779,-0.29305317889208415,0.0012413754338858496
OR11H6,0.0003466779906919347,-2.861075157382775,0.06984683518502517,-0.34931222039327975,-0.07425380717797563
SOX3,0.0003479814427312932,-2.8601452822566,0.06984683518502517,-0.24958661820959624,0.006469757606684726
SIK1,0.0004620806232757604,-2.789594902042546,0.08918156029222175,-0.43175554560966434,0.027344253869375834
GSTM4,0.0005752269022964814,-2.7347045505285434,0.10540844380809389,-0.41860065183153256,-0.11235562242129973
CPVL,0.0005881698737797188,-2.729107364764554,0.10540844380809389,-0.3151944466479741,-0.048040550661229676
PDE7A,0.0006989083462712103,-2.685579022745994,0.1148392286686583,-0.40071832223412146,-0.04580710343380877
LAMTOR3,0.0006729844254503698,2.695137492925667,0.1148392286686583,0.05049830612048165,-0.5791411617019346
SLC4A8,0.000709449200623437,-2.681790172483088,0.1148392286686583,-0.20968750580895215,-0.048246338935477855
PCNP,0.000887105354358718,-2.6249962549667205,0.13584174609843155,-0.4640872076024126,-0.17126112742402408
HCK,0.000893339502042296,-2.623209354672453,0.13584174609843155,-0.22554058053620685,-0.05604639604563453
TFAP2C,0.0009244241747206796,-2.6144751805591797,0.13643413261024617,-0.3707163788175796,-0.07616803205330995
TMC5,0.0009635383794938447,-2.6038785637313975,0.13814387395143177,-0.2156424208055851,0.025734670103381367
GPLD1,0.000994888761569301,-2.5956803605875467,0.13867643904318758,-0.21708426634718048,-0.04537294841836241
OR4K15,0.0011007094736005692,-2.5697354899303937,0.14535158259283304,-0.4316484498268326,-0.10547736669386668
GP1BA,0.0010911130358868897,-2.5719870302568903,0.14535158259283304,-0.0906168212016928,0.10932428038954244
PREX1,0.001273383915386343,-2.5321550733867175,0.15874162678454415,-0.3433798969530819,-0.15710983629212533
MDM2,0.0012970120960873477,-2.5273984348006513,0.15874162678454415,-1.4079054082573086,-0.4279355642474803
PYGL,0.001268107670766309,2.5332288165123287,0.15874162678454415,0.16455986191350133,-0.13839998771355486
WWOX,0.0013635154195298644,2.514444041712771,0.16290762798097283,0.4289374034867222,0.09841793381640672
RNASE3,0.0014009049893631972,-2.5074246664590625,0.16348235434010522,-0.40238434256000577,-0.16734314255263374
GLUD1,0.001603062141452334,2.4723314279965876,0.17512658583274543,0.3165397584222563,0.03566110494974645
CD180,0.0015653703207777617,-2.4785401266654272,0.17512658583274543,-0.22826718076037666,0.0016881166918693606
TULP1,0.0016053852029307074,-2.471953355646017,0.17512658583274543,-0.3376033802448002,-0.007643915253906445
ASIC1,0.0016831091208440233,-2.4595967858797,0.17952450894225033,-0.4046959198663257,-0.11161293883647869
GSTM3,0.0017172531744176994,-2.454340359575625,0.17952450894225033,-0.4684154273675172,-0.1632653871284001
A1CF,0.0019071744431749327,2.4268106931782425,0.19531023175207782,0.0871837673318958,-0.07393353192113071
FOSB,0.002004869440058259,-2.4136548878010715,0.2012086970042469,-0.28305121859103743,-0.09230855828026444
AVP,0.0020762978468236042,-2.404418076026712,0.20429142343844797,-0.24512025889647915,-0.04488608223625205
PCDHGA7,0.0022212408235923477,-2.3865715843010205,0.21434973947666155,-0.4114153227900105,-0.10656715395215448
CACNB4,0.0023925473785182108,-2.3668581901246837,0.22652458010196946,-0.09993786212667766,0.08955108675826753
RNASE4,0.0026663154219173273,-2.3379850733932512,0.22753011410850085,-0.23624846982701708,-0.029390644975178487
COX7A2L,0.0025991612502511033,2.344796996823011,0.22753011410850085,0.2579680584704506,0.07395227174244084
VEGFA,0.0028704466143185036,2.318236965697331,0.22753011410850085,0.09288923766438739,-0.09510645834233497
RNF126,0.002628660650335176,-2.3417842906894117,0.22753011410850085,-0.2627599262545659,0.12982425783232113
VPS8,0.00284771470193032,-2.320368873376305,0.22753011410850085,-0.7438227172801313,-0.26179013757087016
NCR3LG1,0.0026764837258067536,-2.336967881021815,0.22753011410850085,-0.24264696554572374,-0.019035020278556955
KLF1,0.002906660856122206,-2.314873518699552,0.22753011410850085,-0.3461281705564554,-0.1290953637395305
BAMBI,0.002922347766319972,-2.313428912076064,0.22753011410850085,-0.35355128703074223,-0.0397304523763329
BPI,0.002965805611663939,-2.3094650026089893,0.22753011410850085,-0.2131311447770867,-0.021546105137801058
MIB1,0.0029731960420473972,-2.3087963926131314,0.22753011410850085,-0.9224585947002258,-0.29328274884501565
CPSF7,0.0030184679152645546,-2.3047347686129487,0.22753011410850085,-0.4542340824037453,-0.1463783519473883
ABITRAM,0.0030359900865007637,-2.3031782466109254,0.22753011410850085,-0.1901375131621701,0.032929089579405435
MLLT1,0.0030724155660584985,-2.2999696112435197,0.22753011410850085,-0.19648384765557594,0.047223937776098
ANKS3,0.0030833096371817572,-2.299016988230017,0.22753011410850085,-0.28436943498881845,0.09462145899820194
SLC12A1,0.0028534845457303592,-2.3198262231257987,0.22753011410850085,-0.4231929457990094,-0.16225243578345763
AGTR1,0.0032055865924192762,-2.288538260316964,0.2331251234892743,-0.3311178747556536,-0.08679935201101066
TACR3,0.0033814613563304756,-2.274112444138567,0.24240247265809037,-0.2609270954020345,-0.07418879812002069
FANCC,0.0035078630164906543,-2.2641772066757295,0.24792192417957892,-0.3841430573727067,-0.10623386225981155
KMT2B,0.0037230134854222643,-2.248020674792229,0.2542004820906559,-0.4727779928635969,-0.1592722235954825
OR10Q1,0.003745686646830527,-2.24636983606454,0.2542004820906559,-0.1903103967918866,0.024325462000495325
PIN4,0.003748671916043949,-2.2461531823012897,0.2542004820906559,-0.5537466588363152,-0.19013069994840098
STK40,0.003948056028048077,-2.232040079915925,0.2631112919824852,-0.5694977086077861,-0.13361172745506036
VAV3,0.00398494583313449,-2.22950295704586,0.2631112919824852,-0.4901890811097411,-0.2613811731299624
