ProteinID,GeneName,corr,p-value,q-value
F5GY05,FAM120B,0.6310577819748703,6.297057443728499e-05,0.2774483509706776
F5GXR3,PTMS,0.5933244278784544,0.0017705907842387,0.7260648207847398
P3H3,P3H3,0.5915969639258869,0.001153368445957,0.7260648207847398
A0A494C120,ZMAT3,0.5899591643361893,0.0006007100854148,0.6244311333874327
ALKB7,ALKBH7,0.5877162396550282,0.0006377530867552,0.6244311333874327
I3L0M3,MAZ,0.5772826635487949,0.0025153367402041,0.7260648207847398
KBTB7,KBTBD7,0.573364251606397,0.0006028222077968,0.6244311333874327
A0A499FJD3,WDR24,0.5661331486590988,0.0031776945185581,0.7260648207847398
NCK5L,NCKAP5L,0.5637112390279583,0.0050894563020919,0.7260648207847398
KATL1,KATNAL1,0.558706898198469,0.0008887909786851,0.6582111551173458
WDR34,WDR34,0.5518791503102807,0.0005885905098372,0.6244311333874327
DNJB5,DNAJB5,0.5460890516595737,0.0026454747608731,0.7260648207847398
ARSB,ARSB,0.5434021308566391,0.0008963383864512,0.6582111551173458
MPU1,MPDU1,0.5421833957861759,0.0051132784682605,0.7260648207847398
ZN689,ZNF689,0.5373381500351243,0.0081903268343284,0.7260648207847398
CENPT,CENPT,0.5368134997782072,0.0082650923126063,0.7260648207847398
SAT2,SAT2,0.5343581884849979,0.0086225385491957,0.7260648207847398
CFA97,CFAP97,0.5200295408374391,0.0016195721147978,0.7260648207847398
F8W6H6,MYO5A,0.5178494687613834,0.0017078250190003,0.7260648207847398
T11L1,TCP11L1,0.5134755858328207,0.0026501176764411,0.7260648207847398
SOS2,SOS2,0.5132628372628006,0.0037239263925257,0.7260648207847398
ARRB2,ARRB2,0.5115794103031541,0.0016833795502658,0.7260648207847398
TRPC4,TRPC4,0.5088990873343265,0.0131417449515076,0.7260648207847398
PTEN,PTEN,0.5064127645539137,0.0082940751725438,0.7260648207847398
A0A1B0GVH5,FTO,0.5063238226577734,0.0013864453836311,0.7260648207847398
SC65,P3H4,0.5062105736446698,0.0070571794919875,0.7260648207847398
GP180,GPR180,0.5017022555754722,0.0106119842347912,0.7260648207847398
RNF14,RNF14,0.5012954535549055,0.0034696876135908,0.7260648207847398
AP1M1,AP1M1,0.5009767909660376,0.0015871809137042,0.7260648207847398
SMRD1,SMARCD1,0.5006278763048257,0.0016011261936312,0.7260648207847398
FBXW8,FBXW8,0.4990989413029265,0.0026576647051896,0.7260648207847398
PKHO2,PLEKHO2,0.4973896014063484,0.0097284275325006,0.7260648207847398
M0R019,HNRNPM,0.4947358535811873,0.0163966068243489,0.7260648207847398
CT194,C20orf194,0.4927641847943779,0.0077195973858932,0.7260648207847398
A0A087WT23,UBXN8,0.4859376296372925,0.0101759899028642,0.7260648207847398
ZBT45,ZBTB45,0.4849728485486494,0.016306318724435,0.7260648207847398
DCLK1,DCLK1,0.4844585863149153,0.0049571883057433,0.7260648207847398
HLTF,HLTF,0.4826559408554715,0.0024821503957321,0.7260648207847398
SOGA1,SOGA1,0.4822563255465992,0.0038732211342424,0.7260648207847398
CFA44,CFAP44,0.4811488962832108,0.0095399654753555,0.7260648207847398
BAX,BAX,0.4802048768480259,0.0035060543425837,0.7260648207847398
GID4,GID4,0.4784844337393662,0.0064721426648856,0.7260648207847398
MBTP1,MBTPS1,0.4784082631919262,0.0180400496837933,0.7438959590164824
TNG6,TANGO6,0.4781392160479215,0.0042347739425361,0.7260648207847398
ABRX1,ABRAXAS1,0.4754065901309041,0.0044905147067792,0.7260648207847398
