ACH-000022,ACH-000023,ACH-000042,ACH-000060,ACH-000085,ACH-000093,ACH-000094,ACH-000114,ACH-000118,ACH-000138,ACH-000139,ACH-000155,ACH-000164,ACH-000178,ACH-000213,ACH-000222,ACH-000235,ACH-000243,ACH-000265,ACH-000266,ACH-000281,ACH-000307,ACH-000320,ACH-000332,ACH-000354,ACH-000417,ACH-000468,ACH-000502,ACH-000517,ACH-000535,ACH-000599,ACH-000601,ACH-000652,ACH-001098,ACH-001107,ACH-001353,ACH-001375,ACH-001377,ACH-001379,ACH-001380,ACH-001382,ACH-001999,ACH-002039,ACH-002186,ACH-002672
FZD5 (7855),WDR48 (57599),CCDC157 (550631),PLRG1 (5356),ITGA7 (3679),SERPINF1 (5176),WNT7B (7477),ACTMAP (284325),NR1H2 (7376),RASSF8 (11228),PAAF1 (80227),ZNF878 (729747),OPA3 (80207),PABPC4 (8761),GATA4 (2626),FZD5 (7855),FERMT1 (55612),SOX7 (83595),RPL14 (9045),VPS4B (9525),WNT3A (89780),TUBB4B (10383),PDE4D (5144),PANK4 (55229),SMAD2 (4087),KNL1 (57082),TRIO (7204),VASP (7408),VPS4A (27183),RACGAP1 (29127),ACOX1 (51),PELO (53918),FOXL2 (668),FZD5 (7855),ERGIC2 (51290),PRPS1 (5631),AMPD2 (271),RBM34 (23029),CDC25A (993),FAM83D (81610),NR3C1 (2908),FZD5 (7855),PLCD1 (5333),CLEC2B (9976),FZD5 (7855)
WLS (79971),THG1L (54974),MGAT3 (4248),CREBBP (1387),RAX2 (84839),TRA2A (29896),FZD5 (7855),HIPK4 (147746),PEX2 (5828),FZD5 (7855),MRGPRD (116512),RTEL1 (51750),TDGF1 (6997),SOX7 (83595),NEIL2 (252969),WNT7B (7477),DOCK5 (80005),GRK5 (2869),LSM10 (84967),VPS4A (27183),WLS (79971),C1orf112 (55732),DIS3 (22894),TTC34 (100287898),VIPR1 (7433),POLR2M (81488),ITGB5 (3693),LMNTD1 (160492),DOCK5 (80005),LSM7 (51690),ABCD1 (215),LDB1 (8861),IPO11 (51194),RXRA (6256),DDA1 (79016),ITGA3 (3675),IER3IP1 (51124),BAMBI (25805),CTNNA1 (1495),SLC12A7 (10723),RNF122 (79845),PEX6 (5190),CNN1 (1264),HGF (3082),AGR2 (10551)
ZNRF3 (84133),LAS1L (81887),SEC14L6 (730005),CDH1 (999),GPR182 (11318),PITX1 (5307),WLS (79971),DYRK1B (9149),NFYA (4800),CFAP97D1 (284067),P2RY6 (5031),H2BC9 (8345),MTX2 (10651),ID1 (3397),DENND4C (55667),UROD (7389),CDH1 (999),TTI2 (80185),PAK1IP1 (55003),CHMP1A (5119),RASSF2 (9770),CKAP2L (150468),LDHA (3939),ARHGEF16 (27237),FECH (2235),ID2 (3398),CRK (1398),RAF1 (5894),BUB1B (701),TNS4 (84951),SEC11A (23478),SSBP4 (170463),TMED10 (10972),ID1 (3397),NUP133 (55746),SLC11A2 (4891),PPARG (5468),NOTCH2 (4853),ELMO3 (79767),ATR (545),AKAP13 (11214),GRK2 (156),TRMT2B (79979),LYPD6 (130574),WNT7B (7477)
CTNNB1 (1499),ECHS1 (1892),ID1 (3397),TMEM61 (199964),ZNF530 (348327),L1CAM (3897),LRP5 (4041),KCNC3 (3748),ACOX1 (51),TMUB2 (79089),NRXN2 (9379),DOCK5 (80005),COPS3 (8533),ZEB1 (6935),SLC35G5 (83650),HNF1A (6927),TCF7L2 (6934),MCPH1 (79648),PPP2CA (5515),TRPM7 (54822),APOA1 (335),VRK2 (7444),CXCL10 (3627),ACAP2 (23527),SLC7A2 (6542),CSNK2B (1460),OTULIN (90268),MYRF (745),NSA2 (10412),ATOX1 (475),EDC4 (23644),TMEM41A (90407),GATA6 (2627),CTNND2 (1501),KRTAP24-1 (643803),ATP6V0A1 (535),GALNS (2588),BCAP31 (10134),PPARG (5468),MBOAT7 (79143),EMILIN1 (11117),WLS (79971),CCR8 (1237),MTHFD2L (441024),DVL1 (1855)
TCF7L2 (6934),DNMT1 (1786),SYN3 (8224),BCAR3 (8412),CHST6 (4166),N4BP2L1 (90634),EDF1 (8721),BLVRB (645),CLASRP (11129),SRC (6714),CHRM1 (1128),MED6 (10001),HAX1 (10456),TP73 (7161),PLPP5 (84513),KLF3 (51274),ITGA3 (3675),PPP2CA (5515),WDR18 (57418),ITGA3 (3675),AVP (551),RAPGEFL1 (51195),TMEM168 (64418),KIF6 (221458),CISD2 (493856),SBNO1 (55206),EAF1 (85403),ID1 (3397),MYH9 (4627),ZNF304 (57343),HSD17B4 (3295),BRD2 (6046),GAL3ST2 (64090),CBX7 (23492),IL1RL1 (9173),SPPL3 (121665),STIP1 (10963),TRIT1 (54802),NUDT13 (25961),KCNK5 (8645),SYNJ2BP (55333),ABCD1 (215),ITIH4 (3700),ACBD7 (414149),PORCN (64840)
EVPLL (645027),NSMCE1 (197370),TUBB4B (10383),PLEK2 (26499),DHRS7B (25979),TMEM190 (147744),ZNF429 (353088),SPTBN4 (57731),BCAP31 (10134),ELMO3 (79767),DNAJB13 (374407),BMX (660),TMEM11 (8834),P2RY2 (5029),SLC24A2 (25769),KRAS (3845),KRAS (3845),PPME1 (51400),DHRS7B (25979),PSENEN (55851),TP73 (7161),DBF4 (10926),DUSP5 (1847),RSPH9 (221421),NEUROD4 (58158),PFDN6 (10471),WWTR1 (25937),BHLHE41 (79365),KRAS (3845),KLF5 (688),TEAD4 (7004),F2R (2149),ATP6V1A (523),FBXL7 (23194),C12orf71 (728858),EHBP1L1 (254102),ASPDH (554235),MIB1 (57534),PCNX1 (22990),BAMBI (25805),C4orf33 (132321),PEX5 (5830),TLN2 (83660),FKBP3 (2287),GALNT11 (63917)
USP27X (389856),FAM104B (90736),FOXRED2 (80020),ATP8B1 (5205),ZFP37 (7539),ZNF277 (11179),CXCL11 (6373),GMFG (9535),CEPT1 (10390),DOCK5 (80005),SCGB2A2 (4250),S100P (6286),PPP4C (5531),PAIP1 (10605),METTL15 (196074),PSMD2 (5708),TYMS (7298),DNAAF5 (54919),DHPS (1725),DNAJC21 (134218),ADCYAP1R1 (117),CAPRIN1 (4076),NOP10 (55505),USP49 (25862),SKP1 (6500),INTS10 (55174),CCDC184 (387856),BMAL2 (56938),FMC1 (154791),H3C3 (8352),ITFG2 (55846),MFF (56947),HNF1B (6928),PRAMEF12 (390999),TMED10 (10972),TIPARP (25976),DUSP3 (1845),HNF1B (6928),TGFBR1 (7046),TAGLN3 (29114),ZNF358 (140467),PEX2 (5828),BMP7 (655),DLG1 (1739),WLS (79971)
DRC3 (83450),TELO2 (9894),PTP4A2 (8073),TM2D1 (83941),GNG2 (54331),NAT8 (9027),IL3 (3562),TTC9B (148014),PEX3 (8504),DNAI7 (55259),SLC25A45 (283130),MBOAT2 (129642),EIF2AK1 (27102),RAD54L (8438),IFNK (56832),PDPK1 (5170),GLS (2744),STAMBP (10617),SIVA1 (10572),UBA5 (79876),KLF6 (1316),ERBB2 (2064),TDG (6996),FRS3 (10817),INSL4 (3641),INTS15 (79034),GNAI2 (2771),DYNC1LI2 (1783),SKA3 (221150),UBE3D (90025),CACNA1C (775),LHX1 (3975),ATP6V0C (527),ADRA1D (146),PATE2 (399967),EPS8L2 (64787),EDRF1 (26098),POMK (84197),SPATA33 (124045),RETREG3 (162427),BANK1 (55024),PEX26 (55670),CAPN5 (726),UBAC2 (337867),GRK2 (156)
NT5M (56953),NRF1 (4899),CASTOR1 (652968),CSMD2 (114784),NANOS2 (339345),ITPRID2 (6744),CSNK2A1 (1457),MIA (8190),PEX6 (5190),COQ6 (51004),TIGD3 (220359),EFTUD2 (9343),KLHL12 (59349),ALDH18A1 (5832),BLK (640),ATP6V1H (51606),CTNND1 (1500),FITM2 (128486),ASH2L (9070),DDRGK1 (65992),ID1 (3397),TSR3 (115939),POLR2D (5433),TOMM6 (100188893),AS3MT (57412),SLC7A6OS (84138),USPL1 (10208),MPI (4351),TNS3 (64759),RARG (5916),ACBD5 (91452),KRAS (3845),VNN1 (8876),DENND4C (55667),PPP2CA (5515),ITGB1 (3688),CCDC86 (79080),FITM2 (128486),MYL3 (4634),UGP2 (7360),TEX11 (56159),PORCN (64840),SCN10A (6336),KCTD11 (147040),LRP5 (4041)
CDRT15 (146822),ZNF846 (162993),APOL1 (8542),EML1 (2009),MYL9 (10398),TRIM29 (23650),CD47 (961),LGALS14 (56891),FRA10AC1 (118924),HAP1 (9001),UCP3 (7352),MAP4K3 (8491),DNM1L (10059),JAGN1 (84522),CTSB (1508),TAC1 (6863),PLEK2 (26499),ACTR5 (79913),PGS1 (9489),FIS1 (51024),CPEB1 (64506),IRF2 (3660),POLR2M (81488),PRICKLE4 (29964),GAK (2580),MED4 (29079),FRMD4A (55691),DNAI7 (55259),CRKL (1399),RPL28 (6158),TSPAN9 (10867),NADK2 (133686),NFAT5 (10725),LIFR (3977),PRR13 (54458),DUSP10 (11221),KIF20A (10112),ONECUT1 (3175),UPK3B (105375355),FGFR1 (2260),RBM44 (375316),THAP7 (80764),CDC42BPB (9578),CYP2C18 (1562),PEX26 (55670)
