feature,p-value,effect_size,q-value,in_group_gene_effect_mean,out_group_gene_effect_mean
PPCDC,9.4757849275644e-09,-2.881558033690591,7.315305964079717e-06,-0.8037775054758173,-0.03274685364599876
DLGAP1,1.8663425263818083e-06,-2.281422354778998,0.0007204082151833779,-0.07306257027293013,0.12824292255254804
SREBF1,3.910466950841415e-06,-2.1945912864771002,0.0010062934953498576,-1.3139435804305897,-0.30826205991243283
CYB5B,2.5001362784006307e-05,-1.9715113140236862,0.004825263017313217,-0.8935369562685699,-0.3422998916377931
PDXK,0.0005665705416150318,-1.5700728166574804,0.08747849162536091,-0.3207372418617322,-0.09764291637435092
HDDC2,0.0019940484041040788,-1.3933278423548425,0.22824869932779804,-0.0834572953133873,0.010471614360105078
TMEM41A,0.0020696125586717436,-1.3879196026103542,0.22824869932779804,-0.272596052132082,-0.026768182142751982
GAB1,0.002625194197336649,-1.3530572044519735,0.23270542291551127,-0.548389915996485,-0.2748029576189885
SCAP,0.0027128870547145096,-1.3481998038312382,0.23270542291551127,-1.939345569355815,-0.9426517483243038
ZNF786,0.003971932872790968,-1.291083784004937,0.2555276814828856,-0.22103919934866934,-0.10190558783250286
IDH3A,0.0033894330201332777,-1.3150171471370316,0.2555276814828856,-0.8902867045585191,-0.4495312393464423
TSPAN13,0.0037236454147129916,-1.3008560421772233,0.2555276814828856,-0.05242379643388421,0.07995270536325326
MORC2,0.004427457177345617,-1.27454869753633,0.2629228416085243,-0.35574961427965973,-0.15459283837705098
USP38,0.0052026177465664,-1.249742541385849,0.2868872071678044,-0.2825230251441389,-0.08212418070323284
PDS5B,0.005576996782094393,-1.2389685766263656,0.28702943438512474,-0.4141183143042156,-0.06892496127578983
ZEB1,0.006042778928335411,-1.226462238648057,0.29156408329218353,-0.5215500658862472,-0.17663061199728006
ZNF319,0.007864758312681512,-1.1848265818708068,0.32704152027632927,-0.22776555729322104,-0.09220975640660013
SLC20A1,0.007900928110876644,-1.1840939053191615,0.32704152027632927,-0.4617127384786721,-0.2764264204361679
TMEM201,0.008472578245500758,-1.1729056305099785,0.32704152027632927,-0.3748702177737391,-0.16110234757834513
ROGDI,0.008237819611853556,1.177413835032542,0.32704152027632927,0.09616373914514319,-0.02832343594608149
IRAG2,0.010689198734289217,-1.1352084853725726,0.3929553058510131,-0.18803493266398108,0.0025584306124262985
TPK1,0.011347992248770597,-1.1253840389851058,0.39821136436595006,-0.33344434075700496,-0.07952708116960723
LMNTD1,0.011910012646785508,-1.1174051484609018,0.3997621636225397,-0.2702606943422181,-0.05224092659267786
PDCD6,0.012515129538075603,-1.1091885707039013,0.4025700001414319,-0.4367324342366074,-0.21270747767763337
RXRA,0.021490481552714578,-1.0169634019052054,0.4254013271460424,-0.31171513568099346,-0.09133680564874655
PRKCE,0.021185966779503736,-1.019463152523121,0.4254013271460424,-0.34485015684617476,-0.17930325533229577
STARD5,0.02109856920162565,-1.0201865255571494,0.4254013271460424,-0.12357993175924153,0.000943528124640884
PDCD2L,0.020326707640570377,-1.0266940656258903,0.4254013271460424,-0.2556260232470868,-0.009266121138388643
MAP2K3,0.019092767246680763,-1.0375719805883379,0.4254013271460424,-0.16393257377318668,-0.010509219275548718
TAF5L,0.018780388685104503,-1.0404256222984791,0.4254013271460424,-0.6785868595842371,-0.25693295241152153
KLF6,0.01684788985987404,-1.0590906876027961,0.4254013271460424,-0.288654306947056,-0.0973196711909836
SLC33A1,0.01688025144508332,-1.0587626035679494,0.4254013271460424,-0.8275092990316053,-0.4278226480688431
CRIP1,0.021249878497122784,-1.0189358537308368,0.4254013271460424,-0.027637879619998834,0.09474730164257322
FPGS,0.016496980040125293,-1.0626851579505927,0.4254013271460424,-0.8828802633371428,-0.46716558003384406
MBTPS1,0.016414338156632645,-1.0635416975108452,0.4254013271460424,-1.1477849943366394,-0.6771817601656615
LRRC47,0.01825597432585705,1.0453134684120753,0.4254013271460424,0.20635922006449983,0.05969566475283469
RCE1,0.018368507512950962,-1.0442540664485618,0.4254013271460424,-0.3308202958914994,-0.1428651101798659
BRAP,0.016485177781633584,1.0628072451377149,0.4254013271460424,-0.10823025338256209,-0.3488973424711421
LSS,0.01628582821392983,1.0648813878108607,0.4254013271460424,0.017407827967381353,-0.13274495048236398
SHMT2,0.022116506190887987,-1.0119222188529027,0.4268485694841382,-0.2345662382187944,-0.07844160329494075
DNAI7,0.023988459298261308,-0.9975726390759438,0.45168513605506655,-0.43273388242532257,-0.08983887337899567
PGLYRP1,0.027371051190914816,-0.9739979022611791,0.5031059885568152,-0.19236791985763643,-0.08309740694267248
VSIR,0.02809590395527667,-0.9692846050365085,0.5044194849645021,-0.058538481000617294,0.04928060732625756
FAR2,0.030961503713650515,0.9516449115963166,0.533875374419316,-0.06296065776012437,-0.16509093144605536
NEDD4L,0.031119678560711423,-0.9507137855865929,0.533875374419316,-0.2684685830820563,-0.04762508122620201
SLC4A7,0.03308937680881471,-0.9394546145173781,0.5553260629653253,-0.765538708553484,-0.45517926722010776
FSTL3,0.03500108480358842,-0.9290763308051655,0.5749114354972396,-0.06696068944408852,0.05596862332775564
MCTS1,0.03684798940489727,0.9195111499208718,0.5926384962620979,0.047938190891288625,-0.14523032520270465
COPS7A,0.03800254581393323,0.9137424476626667,0.5987339871093154,0.1483445250395112,-0.03047631749989223
BCAT1,0.040052664911472316,-0.9038656723817923,0.6184131462331326,-0.13253155762065436,-0.022724411617043448
FBXL12,0.04294850104235598,-0.8906387798299932,0.6399773781401562,-0.28577170528097373,-0.10769640766744318
EHF,0.04310728453793799,-0.8899361615299124,0.6399773781401562,-0.17926387127488208,-0.06676575802676216
ACSL3,0.04432442164257179,-0.8846235834863896,0.6456311982653854,-0.6331248477458918,-0.3382798804396111
WDR1,0.04676953064339951,-0.874322009754791,0.6586004752830745,-1.0289141380384443,-0.652352976017282
NABP1,0.04692101831679935,-0.8736992056765651,0.6586004752830745,-0.08320275326872589,0.011372544927308282
DYNLT3,0.050673418614066636,-0.8587996902416476,0.6630487994925329,-0.24285300383969935,-0.12798966938821402
RARG,0.05035842725421406,-0.8600132195885997,0.6630487994925329,-0.1740379452891635,-0.03680055346784894
CDK8,0.048197043502398534,0.8685208981476265,0.6630487994925329,0.10313719501141665,-0.11910416172815189
KMT2D,0.04984622828631562,0.8620005141260275,0.6630487994925329,-0.146323370718666,-0.4262729757562256
ADIPOR1,0.052166566347538725,0.8531339146973703,0.6712098203383317,0.08028095424734162,-0.043665004129494915
ATF6B,0.05370844432845906,-0.8474274328485984,0.6797199839601704,-0.30776033703073674,-0.20076706792061813
CHAC1,0.05482007834364606,-0.8433997266702938,0.682598394859593,-0.046868733100703434,0.08130808312475811
ERBB2,0.0643023234227659,-0.8116152586034054,0.6991745589066941,-0.7239255605056734,-0.4039131381698515
FAR1,0.060273439047979355,0.8245971792135265,0.6991745589066941,0.15964382133939167,0.019985163378446247
RAF1,0.06405215496586932,-0.812400965539187,0.6991745589066941,-0.46279838307515914,-0.2414960302081109
OSBPL11,0.06233836291955991,-0.8178545564141398,0.6991745589066941,-0.1079750387710942,-0.019588418994204285
RAD51D,0.062167940803902734,-0.8184037972982354,0.6991745589066941,-0.7984404598050908,-0.5080539834672906
ETS1,0.0609907471064406,-0.8222329990901929,0.6991745589066941,-0.12227166428513243,0.04581994985119261
LINGO4,0.05992498316181459,-0.8257543033584249,0.6991745589066941,-0.07040512156319902,0.0223061271552441
SETDB2,0.05923659961611448,-0.8280571613956844,0.6991745589066941,-0.1439138429358502,-0.04153344923839503
PYCARD,0.06376391006562947,-0.8133094895475859,0.6991745589066941,-0.02058299208009015,0.07277850939540219
ALG10,0.06614618134129131,-0.8059027285449981,0.7092340554927347,-0.4012687866619538,-0.20245446397507733
CCDC183,0.06826648965399436,-0.7994977725356046,0.7219415070258033,-0.1120713001601741,-0.029825909280876247
MICU3,0.07161398669726039,0.7897192664707505,0.7371466364038003,0.06620840808624917,-0.008234738186952643
CLPTM1,0.07092607148766097,-0.7916968721655141,0.7371466364038003,-0.29476873196007264,-0.19296108161671252
NR5A1,0.07435481667789237,0.7819951049013341,0.7552884009912225,0.03479758305145702,-0.10751656320688792
MECP2,0.07711613834098556,-0.7744509297252364,0.773164399990141,0.011273477041131665,0.08808821844492389
SPATA7,0.07907660817615668,0.7692307423176862,0.7826556604101661,0.09339026742144864,0.012625334567150755
TDG,0.08369253857958084,-0.7573533120341462,0.8076329972929551,-0.23821643885180457,-0.1441198941954249
MEGF6,0.08335437502529934,0.7582046988435286,0.8076329972929551,0.1671953113453117,0.05092899998410331
TFRC,0.08663336497384008,-0.7500672297051028,0.8156214360951773,-1.124104473681373,-0.729456275279017
ATL3,0.08655264926839285,-0.7502644505841437,0.8156214360951773,-0.24548795894027656,-0.15206023329414325
IPPK,0.09251157070159612,-0.7360968506365154,0.8502253878765739,-0.6400578300509102,-0.3942358818876221
MARK2,0.092036847903801,0.7371974590260474,0.8502253878765739,-0.31292194034993437,-0.5376943447579068
COQ9,0.10111429929776823,-0.7169143654160733,0.852113575891069,-0.20689909745516966,-0.11466542509576347
ASF1A,0.09913112903815983,-0.7212142260291473,0.852113575891069,-0.31555982062453686,-0.12951962687674973
MYG1,0.10485853589333102,-0.7089806232834196,0.852113575891069,-0.416116804200422,-0.3190037790136679
