feature,p-value,effect_size,q-value,in_group_gene_effect_mean,out_group_gene_effect_mean
TFRC,1.631826440300091e-05,1.2727792506327045,0.012597700119116702,-0.3889711335655587,-0.9735095359558571
SLC25A28,0.0001197449114035878,-1.1165533842291966,0.018488614320713956,-0.32544330887348416,0.0573583462273081
ITGAV,0.00010641551951365055,-1.126056283491864,0.018488614320713956,-0.9282490312102251,-0.4531470296814783
GRHL2,6.997654282951465e-05,1.1595267848335808,0.018488614320713956,-0.05946162364663258,-0.33305395183755554
MED23,9.519649580289466e-05,1.1349943381061307,0.018488614320713956,-0.06859811697743837,-0.4423549441510235
FGFR1,0.00029276818104269163,-1.0432869864733962,0.03766950596082633,-0.4165314572095928,-0.018529307763859377
SLC7A5,0.0004533949257267896,1.0065231088344888,0.045152882197413736,-0.16584263568282567,-0.5642540336992249
SLC3A2,0.0005186112398736024,0.9950908683379092,0.045152882197413736,-0.3082236697592555,-0.5765684669145063
RIC1,0.0005263937043739944,0.9938196764640738,0.045152882197413736,-0.4415962423148013,-0.8981250832334979
SNAP23,0.000738628019798191,0.9646780345761761,0.05183825738947304,-0.49148695042927004,-1.0137798830763352
TFDP1,0.0007194230055599326,0.966960802992313,0.05183825738947304,-0.2986741252069293,-0.5897341751026857
CDH2,0.0008660784751792475,-0.9508238891607103,0.05571771523653159,-0.3971972098243463,-0.12154366686077167
NAMPT,0.001079641203715424,0.9314612545965365,0.061064102375013016,-0.17228320053184693,-0.5152852886013322
SLC4A7,0.0011073800948836557,0.9292188252544952,0.061064102375013016,-0.2969816900752841,-0.5881101843493783
XYLT2,0.0012358782846949444,-0.9194803120854158,0.06360653571896648,-0.4577357184997457,-0.20675993239518248
JUNB,0.001532745589948535,0.9002182946684801,0.07144233032394086,-0.1622182713054231,-0.356820669062126
ITGA3,0.0017035332345061013,0.8906824162566509,0.07144233032394086,-0.07153057860677563,-0.30428262064445627
MYH9,0.0017083720386578511,0.8904256083660269,0.07144233032394086,-0.4047579498170273,-0.8490489074715211
CFL1,0.0017582956945011352,0.8878153684066573,0.07144233032394086,-0.3989635724139241,-0.7734900380891068
KLF6,0.002089549796138727,0.8720830364096833,0.08065662213095487,-0.01733647960277096,-0.1698236413932631
FAM83H,0.0023920430986744405,0.8596476961862604,0.08591018851275815,-0.05028530338800278,-0.201084862969019
EPS8L2,0.0024694822528519627,0.8567023870551728,0.08591018851275815,-0.11378195573135079,-0.2162090064282942
KLF5,0.0026004713765808737,0.8519122341474671,0.08591018851275815,-0.11712765133927856,-0.46419099356903903
GALNT16,0.0026707830625727924,0.8494335826992058,0.08591018851275815,-0.0928547316052081,-0.1820249718922643
FERMT2,0.003908154864765377,-0.8135980539733324,0.1005698518532957,-0.7988745639274897,-0.40533435912855426
LCE1B,0.0038047657649187944,0.8161514668714571,0.1005698518532957,-0.07704777898372867,-0.28283312624865664
CDK6,0.003498055415376726,0.8241260403502217,0.1005698518532957,-0.5943771743767525,-0.9420670647103568
MYL6,0.0032868992178539157,0.830004919536084,0.1005698518532957,-0.02308313883560576,-0.22391795430636927
LLGL2,0.0038967283687937563,0.8138771407260578,0.1005698518532957,0.003997679075956472,-0.1219130680172982
PPCDC,0.003880655978934985,0.8142709946598281,0.1005698518532957,0.06553935258402666,-0.20429029574367688
PTK2,0.0048525013209087245,-0.792811196317105,0.11018032411004516,-0.9551940194898211,-0.6455205721332841
ITGB1,0.004531913166731721,0.7994100499226158,0.11018032411004516,-0.19538567006963042,-0.520937216628667
SLC35B2,0.004789682308787378,-0.794071683655569,0.11018032411004516,-0.5582400011732809,-0.2814644397233128
EP300,0.004786714846766935,-0.7941316057586222,0.11018032411004516,-0.3003090666536835,-0.040871803579854524
LUC7L,0.0052962950468336874,0.78431469876883,0.11620130766471558,-0.012970337735118066,-0.09514589934669385
MCL1,0.005569233657505798,-0.7794113667297716,0.11620130766471558,-0.7424098874006199,-0.3994300268216396
FOXA2,0.005450432528206676,-0.7815176410890626,0.11620130766471558,-0.29516573605428637,-0.10571129204176585
MBTD1,0.00602245649541098,0.7717403743189352,0.11735328604983389,-0.3274283466674933,-0.45098846881982385
STX4,0.006080481142478439,0.770797124593431,0.11735328604983389,-0.4349996447569729,-0.7289530347685872
GPX4,0.006066146772121398,-0.7710293682458645,0.11735328604983389,-0.6083847942888009,-0.332546887883018
EIPR1,0.006356542081211511,0.766420343113668,0.11968903626086065,-0.03854935063640437,-0.2308450612494869
NLRP1,0.006752361266821238,0.7604416240543691,0.12411483090442847,0.03358425312208803,-0.03955426666286732
EGFR,0.007230400934256941,0.7536375563802491,0.12981091909875253,-0.4088881486541632,-0.7396912137863552
MVK,0.007722908421128681,0.7470477274445215,0.13031765063747563,-0.464686247180967,-0.7348522523233842
SLC12A7,0.007765041359227822,0.7465020786747562,0.13031765063747563,-0.041023722291767775,-0.1487409335648112
KRAS,0.007522719225550544,0.7496782998251954,0.13031765063747563,-0.5854151274698657,-1.0575369204267746
IDH3A,0.008195471028829285,0.741078430739597,0.13461497094162145,-0.3299006608389192,-0.5817562378061972
UBE2D3,0.008527694709997768,0.7370682474701165,0.13715375658579743,-0.39037509454243924,-0.6625001955335262
GLS,0.008863711276698752,0.7331554857434948,0.1396486756247232,-0.06858187623129886,-0.2759295481627089
RAB6A,0.010399591782092418,0.716840143032099,0.16056969711550695,-0.45232417345929204,-0.7622592916296435
CYB5B,0.010882564787658845,0.7121641858657558,0.16156423107831977,-0.25466022781318526,-0.47429618210193225
RPP25L,0.010695039113046001,-0.7139568155935425,0.16156423107831977,-0.4068880973425798,-0.19491203492560402
TGFBR1,0.011824256474702727,0.703566951919537,0.17223256600887746,-0.0022946214582334847,-0.19564788950308154
SREBF1,0.012317922710093082,0.6993061472501497,0.17610067281836778,-0.1714317592568339,-0.5366601480374716
SNX17,0.012711224244697885,0.6960212579998593,0.17841936576194123,-0.14004866651805337,-0.24496654460331513
STXBP1,0.013353154753963072,0.6908529464835824,0.1818688791648777,-0.08841724404907089,-0.17852617196427678
PPA2,0.013428142632639934,-0.6902639850207651,0.1818688791648777,-0.563437392426365,-0.2833648603553118
RAB10,0.013897225122483705,0.6866460205958935,0.183384233992577,-0.39088332871483855,-0.6636012638572091
ATP5MK,0.014015116328448242,-0.6857541544564211,0.183384233992577,-0.25242841936432087,-0.15563294665527125
FPGS,0.014310705833766561,0.6835474889223333,0.1841310817277964,-0.3353056382807265,-0.602123192255261
PPCS,0.015554358695462185,0.6746929639684833,0.1876244517640126,-0.2536164288887688,-0.38643076593846937
BTBD1,0.01534899428797419,0.6761099623177815,0.1876244517640126,0.032607879195838727,-0.05899870834138463
EFR3A,0.01498429974560096,0.6786690733223644,0.1876244517640126,-0.4255407214589094,-0.719529170273774
SELENOI,0.015322700861121313,-0.6762926195013892,0.1876244517640126,-0.1432944612728499,-0.0019038628929245027
CDH1,0.01606881872915895,0.6712160193018495,0.1908481239832417,-0.08376507445075417,-0.2673334343851757
PEX2,0.016406731273010407,0.6689864925196205,0.1919090385267278,-0.021139981964814432,-0.11662908293878495
NMNAT1,0.019475348696338015,0.6504398951434176,0.20317525937260741,-0.15761599665250703,-0.3285190785160949
TGFBR2,0.019324869376534614,0.6512859540804021,0.20317525937260741,0.1605311229088604,0.03957383225928314
PIAS1,0.018993300525597057,0.6531712213407865,0.20317525937260741,-0.09207628291184508,-0.25029334186293806
TLE3,0.018690253442676327,0.6549203188605066,0.20317525937260741,-0.011107902063524043,-0.12500434632189228
PLEKHA3,0.018603643095742722,0.6554248840742228,0.20317525937260741,0.08919218342727601,0.026720209806672342
CCND3,0.018354310860340735,0.6568892811264814,0.20317525937260741,-0.17399379668955445,-0.31478757076435987
MTR,0.018054032616925543,0.6586768006936324,0.20317525937260741,-0.13133403516078546,-0.2574437004394306
DGKD,0.01775533738214052,0.6604815987618509,0.20317525937260741,4.9485561797375884e-05,-0.1232594275345393
SCAP,0.020566656132279072,0.6444736054909986,0.2090560003436089,-0.7227083699229306,-1.21442030916066
TNP2,0.020580642520873417,0.6443989974180611,0.2090560003436089,0.06491171782768174,0.007185227284027429
TXLNB,0.020980269467350935,0.6422861833191693,0.2103476367375964,0.07273169509707558,0.0033436564603008022
CLPTM1,0.022423704066926235,0.6349428981926086,0.21638874424583818,-0.15096208201046085,-0.23123864299598035
GRK2,0.022282151849192574,0.6356440606556605,0.21638874424583818,-0.23942331581640558,-0.36985803718631927
ARID1B,0.022300748863907427,-0.6355517161759731,0.21638874424583818,-0.3041217987822745,-0.15530388466270195
STX7,0.023265875070140305,0.6308510936427781,0.22174389573022613,0.07797795881535458,0.009793343699796439
NTHL1,0.024218245221155812,0.6263798706343071,0.22641311128419983,-0.026745564982367336,-0.11178950795317139
PDCD6,0.024342342275373813,0.625808823856101,0.22641311128419983,-0.15211537565399155,-0.27979937208405187
FLOT1,0.025014651420652165,0.6227593787159451,0.22948782137437695,-0.05601988853771721,-0.2159766367582552
RAB35,0.02526744147256741,0.6216315915174692,0.22948782137437695,-0.0503098957273382,-0.21333829030820636
ACTB,0.02576941950671637,-0.6194214716679639,0.23132548673470973,-0.946818223968194,-0.6845993434554579
PEX5,0.026285462577610108,0.6171888927826824,0.233245713907069,-0.09530963673268233,-0.1923160926615289
GAREM1,0.027496567965490628,0.6120980621002979,0.24094022543206936,-0.07874576963947584,-0.1673778296388782
EIF4E1B,0.02819669449866153,0.6092449669612179,0.24094022543206936,0.0008754543659643518,-0.059407455780021275
MAPK7,0.028326705799514622,0.6087220653535298,0.24094022543206936,0.03823511447493236,-0.07198435613157302
BAMBI,0.02840098512217398,-0.6084242676256975,0.24094022543206936,-0.1874949097498921,-0.05582382851245647
UFM1,0.02923746698466816,-0.6051173475970809,0.2427024141092884,-0.9356937609182538,-0.681270716513343
