feature,p-value,effect_size,q-value
PPBP,5.046069145621629e-10,0.6995419844065323,8.905807435107614e-06
NEURL3,1.920474473378187e-09,0.6755471406142238,1.2925597768915912e-05
ALAS2,2.1971099386224566e-09,0.6730861309944999,1.2925597768915912e-05
CRP,4.137028101785705e-09,0.6613963353008111,1.8253602242103978e-05
ITIH5,1.775772363674211e-08,0.6337099770789166,5.2234344077476914e-05
SPNS3,1.775772363674211e-08,0.6337099770789166,5.2234344077476914e-05
SPNS2,2.2865777251516533e-08,0.6287879578394688,5.76511575302879e-05
NDFIP1,5.4590267375155204e-08,0.611560890501401,6.021647680650714e-05
ELOVL7,5.4590267375155204e-08,0.611560890501401,6.021647680650714e-05
AQP1,5.294051643969164e-08,0.6121761429063322,6.021647680650714e-05
DMBT1,5.294051643969164e-08,0.6121761429063322,6.021647680650714e-05
CLDN10,3.128219246200296e-08,0.622635433790159,6.021647680650714e-05
PDZK1IP1,4.011223159533682e-08,0.6177134145507109,6.021647680650714e-05
GAL3ST1,4.011223159533682e-08,0.6177134145507109,6.021647680650714e-05
FXYD2,2.9388403465862742e-08,0.6238659386000208,6.021647680650714e-05
PKHD1,4.681163265982462e-08,0.614637152526056,6.021647680650714e-05
RHAG,6.361524461654193e-08,0.6084846284767462,6.43072811034666e-05
BAAT,6.55862122421893e-08,0.6078693760718152,6.43072811034666e-05
HNF1B,8.884486974432525e-08,0.6017168520225054,8.252753190092613e-05
TM4SF4,9.437240025763495e-08,0.6004863472126434,8.327892460734995e-05
SCTR,1.3931513513341628e-07,0.5924880659485405,0.00011513816704587759
RTN4,1.4352312737318301e-07,0.5918728135436097,0.00011513816704587759
SLC28A1,1.664757147599965e-07,0.5887965515189547,0.00012609787429875336
WBP1,2.0465509921570072e-07,0.5844897846844377,0.00013680180014349875
IL32,2.0465509921570072e-07,0.5844897846844377,0.00013680180014349875
SLC1A1,2.107572141572957e-07,0.5838745322795067,0.00013680180014349875
MYO3A,2.512334131430888e-07,0.5801830178499208,0.0001528971899504267
KLHDC7A,2.741921272664797e-07,0.5783372606351278,0.00015610376948793875
ST6GAL2,2.6632281309926157e-07,0.5789525130400589,0.00015610376948793875
ACBD4,3.079751082805368e-07,0.575876251015404,0.00016455933254513023
GUCA2B,3.263401121355067e-07,0.5746457462055419,0.00016455933254513023
ARPC1B,3.263401121355067e-07,0.5746457462055419,0.00016455933254513023
ACVR1,3.263401121355067e-07,0.5746457462055419,0.00016455933254513023
SEC14L6,3.662935061699171e-07,0.572184736585818,0.00017472200244305044
CRHR1,3.993155804550541e-07,0.570338979371025,0.00018070565844746793
SLC35F3,5.020287205793325e-07,0.5654169601315772,0.00018851712530860935
C1QTNF5,5.020287205793325e-07,0.5654169601315772,0.00018851712530860935
SLC5A1,4.879170725389739e-07,0.5660322125365082,0.00018851712530860935
PGBD5,4.608326225235286e-07,0.56726271734637,0.00018851712530860935
ITGAM,4.608326225235286e-07,0.56726271734637,0.00018851712530860935
DSCAML1,4.7418837071005973e-07,0.5666474649414391,0.00018851712530860935
SLC34A2,4.478400848657737e-07,0.567877969751301,0.00018851712530860935
WWC1,5.165335629088195e-07,0.5648017077266461,0.00018992293441203657
GLIS2,5.467651375757737e-07,0.5635712029167842,0.00019693587577703734
ANXA13,6.299943209101537e-07,0.5604949408921293,0.00021994944703879
AZGP1,6.48046418834896e-07,0.5598796884871983,0.00021994944703879
CFAP221,6.48046418834896e-07,0.5598796884871983,0.00021994944703879
OLFM4,6.856577652971046e-07,0.5586491836773363,0.00022409581295793703
SMIM6,6.856577652971046e-07,0.5586491836773363,0.00022409581295793703
CHST4,7.253680991061904e-07,0.5574186788674743,0.00022459686984430095
