,RNA_Cluster,Subtype
SNU886,R1,HCC
JHH4,R1,HCC
SNU449,R1,HCC
OCUG1,R1,GBC
NOZ,R1,GBC
TGBC52TKB,R1,AC
SSP25,R1,ICC
KKU100,R1,ECC
G415,R1,GBC
CCLP1,R1,ICC
SNU398,R1,HCC
HLF,R1,HCC
KKU055,R1,ICC
SNU182,R1,HCC
SNU475,R1,HCC
SNU387,R1,HCC
JHH6,R1,HCC
SKHEP1,R1,HCC
HUH28,R1,ICC
SNU423,R1,HCC
ECC4,R1,ECC
JHH2,R1,HCC
HUH6,R2,HCC
HEP3B217,R2,HCC
JHH5,R2,HCC
JHH7,R2,HCC
HUH7,R2,HCC
HEPG2,R2,HCC
HUH1,R2,HCC
PLCPRF5,R2,HCC
SNU761,R2,HCC
SNU878,R2,HCC
LI7,R2,HCC
SG231,R2,ICC
ICC7,R3,ICC
ICC13-7,R3,ICC
ICC20,R3,ICC
ICC19,R3,ICC
ICC21,R3,ICC
SNU1079,R3,ICC
RBE,R3,ICC
ICC5,R3,ICC
GB3,R3,GBC
ICC14,R3,ICC
ICC26,R3,ICC
ICC6,R3,ICC
ICC24,R3,ICC
ICC16,R3,ICC
ICC4,R3,ICC
ICC10-6,R3,ICC
ICC11,R3,ICC
ICC10,R3,ICC
ICC25,R3,ICC
ICC10-8,R3,ICC
ICC18,R3,ICC
ICC17,R3,ICC
ICC9,R4,ICC
HUCCT1,R4,ICC
ICC8,R4,ICC
ICC12,R4,ICC
EGI1,R4,ECC
AOVC1,R4,AC
TGBC1TKB,R4,GBC
YSCCC,R4,ICC
ICC2,R4,ICC
ECC3,R4,ECC
HKGZCC,R4,ICC
KKU213,R4,ICC
SNU308,R4,GBC
CCSW1,R4,ICC
KMCH1,R4,ICC
TFK1,R4,ECC
SNU478,R4,AC
SNU869,R4,AC
SNU1196,R4,ECC
TKKK,R4,ICC
SNU245,R4,ECC
OZ,R4,ICC
GB2,R4,GBC
