feature,p-value,effect_size,q-value
PPBP,5.046069145621629e-10,0.6995419844065323,8.905807435107614e-06
NEURL3,1.920474473378187e-09,0.6755471406142238,1.2925597768915912e-05
ALAS2,2.1971099386224566e-09,0.6730861309944999,1.2925597768915912e-05
CRP,4.137028101785705e-09,0.6613963353008111,1.8253602242103978e-05
ITIH5,1.775772363674211e-08,0.6337099770789166,5.2234344077476914e-05
SPNS3,1.775772363674211e-08,0.6337099770789166,5.2234344077476914e-05
SPNS2,2.2865777251516533e-08,0.6287879578394688,5.76511575302879e-05
NDFIP1,5.4590267375155204e-08,0.611560890501401,6.021647680650714e-05
ELOVL7,5.4590267375155204e-08,0.611560890501401,6.021647680650714e-05
AQP1,5.294051643969164e-08,0.6121761429063322,6.021647680650714e-05
DMBT1,5.294051643969164e-08,0.6121761429063322,6.021647680650714e-05
CLDN10,3.128219246200296e-08,0.622635433790159,6.021647680650714e-05
PDZK1IP1,4.011223159533682e-08,0.6177134145507109,6.021647680650714e-05
GAL3ST1,4.011223159533682e-08,0.6177134145507109,6.021647680650714e-05
FXYD2,2.9388403465862742e-08,0.6238659386000208,6.021647680650714e-05
PKHD1,4.681163265982462e-08,0.614637152526056,6.021647680650714e-05
RHAG,6.361524461654193e-08,0.6084846284767462,6.43072811034666e-05
BAAT,6.55862122421893e-08,0.6078693760718152,6.43072811034666e-05
HNF1B,8.884486974432525e-08,0.6017168520225054,8.252753190092613e-05
TM4SF4,9.437240025763495e-08,0.6004863472126434,8.327892460734995e-05
SCTR,1.3931513513341628e-07,0.5924880659485405,0.00011513816704587759
RTN4,1.4352312737318301e-07,0.5918728135436097,0.00011513816704587759
SLC28A1,1.664757147599965e-07,0.5887965515189547,0.00012609787429875336
WBP1,2.0465509921570072e-07,0.5844897846844377,0.00013680180014349875
IL32,2.0465509921570072e-07,0.5844897846844377,0.00013680180014349875
SLC1A1,2.107572141572957e-07,0.5838745322795067,0.00013680180014349875
MYO3A,2.512334131430888e-07,0.5801830178499208,0.0001528971899504267
KLHDC7A,2.741921272664797e-07,0.5783372606351278,0.00015610376948793875
ST6GAL2,2.6632281309926157e-07,0.5789525130400589,0.00015610376948793875
ACBD4,3.079751082805368e-07,0.575876251015404,0.00016455933254513023
GUCA2B,3.263401121355067e-07,0.5746457462055419,0.00016455933254513023
ARPC1B,3.263401121355067e-07,0.5746457462055419,0.00016455933254513023
ACVR1,3.263401121355067e-07,0.5746457462055419,0.00016455933254513023
SEC14L6,3.662935061699171e-07,0.572184736585818,0.00017472200244305044
CRHR1,3.993155804550541e-07,0.570338979371025,0.00018070565844746793
SLC35F3,5.020287205793325e-07,0.5654169601315772,0.00018851712530860935
C1QTNF5,5.020287205793325e-07,0.5654169601315772,0.00018851712530860935
SLC5A1,4.879170725389739e-07,0.5660322125365082,0.00018851712530860935
PGBD5,4.608326225235286e-07,0.56726271734637,0.00018851712530860935
ITGAM,4.608326225235286e-07,0.56726271734637,0.00018851712530860935
DSCAML1,4.7418837071005973e-07,0.5666474649414391,0.00018851712530860935
SLC34A2,4.478400848657737e-07,0.567877969751301,0.00018851712530860935
WWC1,5.165335629088195e-07,0.5648017077266461,0.00018992293441203657
GLIS2,5.467651375757737e-07,0.5635712029167842,0.00019693587577703734
ANXA13,6.299943209101537e-07,0.5604949408921293,0.00021994944703879
AZGP1,6.48046418834896e-07,0.5598796884871983,0.00021994944703879
CFAP221,6.48046418834896e-07,0.5598796884871983,0.00021994944703879
OLFM4,6.856577652971046e-07,0.5586491836773363,0.00022409581295793703
SMIM6,6.856577652971046e-07,0.5586491836773363,0.00022409581295793703
CHST4,7.253680991061904e-07,0.5574186788674743,0.00022459686984430095
PRG2,7.253680991061904e-07,0.5574186788674743,0.00022459686984430095
LGALS9,7.253680991061904e-07,0.5574186788674743,0.00022459686984430095
TSPAN15,7.672895442823812e-07,0.5561881740576123,0.00023348091667309907
SLC17A3,8.115399243612772e-07,0.5549576692477503,0.00024276047669579968
DCDC2,8.345769103731663e-07,0.5543424168428193,0.0002454907981862669
DPP10,8.582430359361227e-07,0.5537271644378884,0.0002483136285448628
IL1R2,8.825547558024579e-07,0.5531119120329574,0.00025122917556705775
DEFB1,9.331828557685562e-07,0.5518814072230954,0.0002614245114517341
BCL2L1,9.595342328110874e-07,0.5512661548181643,0.00026460655742004504
MLLT3,1.0144024131484433e-06,0.5500356500083025,0.00027543366445625966
ZNF843,1.0722841525937313e-06,0.5488051451984405,0.0002867385304413146
GIMAP4,1.1333376633078788e-06,0.5475746403885785,0.00029854143910030976
UGT2B15,1.165105421612145e-06,0.5469593879836475,0.0003023962586181286
LMAN2,1.1977290475408934e-06,0.5463441355787165,0.0003063582602905685
CAPN6,1.3009584093722012e-06,0.5444983783639236,0.00031027858063527
TNNT2,1.3009584093722012e-06,0.5444983783639236,0.00031027858063527
UBFD1,1.2656326682597203e-06,0.5451136307688546,0.00031027858063527
RHEX,1.3009584093722012e-06,0.5444983783639236,0.00031027858063527
CYFIP2,1.3372315359787201e-06,0.5438831259589926,0.00031467732504651246
LDOC1,1.412717712439987e-06,0.5426526211491306,0.00031560828996016877
SLC17A1,1.3744763417996874e-06,0.5432678735540616,0.00031560828996016877
DEGS2,1.412717712439987e-06,0.5426526211491306,0.00031560828996016877
RNF103,1.412717712439987e-06,0.5426526211491306,0.00031560828996016877
CYP2C9,1.4519811389728275e-06,0.5420373687441996,0.0003203251890216429
WNT7B,1.4922927318136699e-06,0.5414221163392686,0.0003251540052318452
SLC17A4,1.6645654535327889e-06,0.5389611067195447,0.00034973709154047846
OBSCN,1.6645654535327889e-06,0.5389611067195447,0.00034973709154047846
FUT6,1.7105322200463392e-06,0.5383458543146137,0.0003502943580116864
TNFAIP1,1.7577176364817743e-06,0.5377306019096827,0.0003502943580116864
EPHA6,1.8061525626983658e-06,0.5371153495047517,0.0003502943580116864
GPRIN2,1.8061525626983658e-06,0.5371153495047517,0.0003502943580116864
SELP,1.8061525626983658e-06,0.5371153495047517,0.0003502943580116864
ADCY5,1.8061525626983658e-06,0.5371153495047517,0.0003502943580116864
CCL2,1.8558686000310208e-06,0.5365000970998207,0.0003560241839342118
RUNDC3A,1.9068981080412567e-06,0.5358848446948897,0.00036188005063247464
NUDT18,1.959274221619431e-06,0.5352695922899587,0.00036786415678043973
RNPEPL1,2.013030868444827e-06,0.5346543398850278,0.0003739787557598185
FAM110B,2.0682027868103557e-06,0.5340390874800968,0.00038022615608766634
NAA60,2.12482554381891e-06,0.5334238350751658,0.0003866087218851541
UNC5CL,2.366566359747518e-06,0.5309628254554418,0.00041353989785330634
KCNQ1,2.3037673426629746e-06,0.5315780778603728,0.00041353989785330634
PAEP,2.4310071469177733e-06,0.5303475730505108,0.00042063573662697826
APCS,2.497130647969191e-06,0.5297323206455798,0.0004230776671066401
LST1,2.497130647969191e-06,0.5297323206455798,0.0004230776671066401
UGT2B11,2.5649787738914666e-06,0.5291170682406489,0.0004230776671066401
SIRPG,2.5649787738914666e-06,0.5291170682406489,0.0004230776671066401
VTCN1,2.5649787738914666e-06,0.5291170682406489,0.0004230776671066401
TGFA,2.7060215093110737e-06,0.5278865634307869,0.00044220901497991796
CNTN3,2.7793049718528094e-06,0.5272713110258559,0.00044592684952936577
C8G,2.7793049718528094e-06,0.5272713110258559,0.00044592684952936577
NLGN1,2.854490810447183e-06,0.5266560586209249,0.0004498116813712708
RHBDF2,2.854490810447183e-06,0.5266560586209249,0.0004498116813712708
PIGR,2.9316261024444243e-06,0.5260408062159939,0.0004578784874516959
MUC6,3.010759027734642e-06,0.525425553811063,0.00046205987896077126
TMEM102,3.175216156095578e-06,0.524195049001201,0.00047491008422822763
A4GNT,3.175216156095578e-06,0.524195049001201,0.00047491008422822763
APP,3.3482706170653315e-06,0.522964544191339,0.0004765615171015003
MMP7,3.3482706170653315e-06,0.522964544191339,0.0004765615171015003
DNAJB1,3.3482706170653315e-06,0.522964544191339,0.0004765615171015003
ALOXE3,3.3482706170653315e-06,0.522964544191339,0.0004765615171015003
HSD3B7,3.3482706170653315e-06,0.522964544191339,0.0004765615171015003
ASPHD1,3.3482706170653315e-06,0.522964544191339,0.0004765615171015003
TNFSF11,3.438154717198047e-06,0.5223492917864081,0.00048300115066567237
CCDC148,3.5303500728580506e-06,0.5217340393814771,0.00048300115066567237
