feature,p-value,effect_size,q-value,in_group_gene_effect_mean,out_group_gene_effect_mean
NMNAT1,1.907859852861467e-05,-1.8835259541861735,0.007622595593649864,-0.6642786967861659,-0.21666101219004055
KPNA2,1.977327002243804e-05,-1.879405821957863,0.007622595593649864,-0.7762124970736183,-0.3600442377298422
PCBD1,3.8630135602435606e-05,-1.8016119839322762,0.009721359200868349,-0.2597171609025159,0.021339777731408865
MBTD1,5.0435067189978456e-05,-1.7702725754678221,0.009721359200868349,-0.6416516182784565,-0.37823350753266644
CMTM5,6.335432319627523e-05,-1.7432901203015478,0.00976923663686564,-0.2954725094467922,-0.11894895620788151
ZBTB18,0.00026345593307585893,-1.5703304756070424,0.026584598790558737,-0.2323612213962769,-0.06329896649508719
HNF1B,0.00026664019886779615,-1.5688362446071142,0.026584598790558737,-1.3812872109428722,-0.5230376739741853
DYDC2,0.000275845383040817,-1.5646113120308365,0.026584598790558737,-0.21305680727162576,-0.06264943141356648
ANXA7,0.00031131679420880843,-1.5495082353293146,0.026669472037221257,-0.27483274291392956,-0.11664167983906569
LRRC20,0.00042592382009055025,-1.5100382665966563,0.03172726123803763,-0.16576539134806814,-0.03591137920762943
XPR1,0.0004526587206464513,-1.5023138823014859,0.03172726123803763,-0.6195025573002445,-0.24343379248307534
KHSRP,0.0008533130475689323,-1.420639909881926,0.05060802766735745,-0.6725070211011399,-0.27122734034078605
LENEP,0.0009746471105150944,-1.4032067926332688,0.05367520872908126,-0.1868120559391437,0.0013988693546362284
PPP1R16A,0.0014096641082902415,-1.3542039015370853,0.06408699626520366,-0.09623838781360648,0.06099950751791585
SSC4D,0.0014660141717172327,-1.3489435889479007,0.06408699626520366,-0.28197085057097404,-0.09356746442116419
ATRN,0.0014901422815034654,-1.3467494947765652,0.06408699626520366,-0.40909672762344446,-0.17310249078850723
KCNH1,0.001496194465335494,-1.346204411933918,0.06408699626520366,-0.00964052492560759,0.13175592596333716
EIF4E1B,0.001837907761030738,-1.3183815478998395,0.0745803623028789,-0.15091053054839162,-0.0273522399293422
