feature,p-value,effect_size,q-value
RM04,8.088621770777568e-06,0.5153226105466747,0.006046244975550632
PCAT2,1.4118912601779517e-05,0.5013714062002335,0.00750514086896103
VRK1,1.7320765022807446e-05,0.49616262863612864,0.00750514086896103
NRDE2,2.4302378417999266e-05,0.48742020185379215,0.0075751943080575364
TRI29,4.018219372835932e-05,0.47416964135135015,0.010139306884122668
ESRP1,8.34628040087048e-05,0.45428609153099414,0.011638668380055967
GNA1,7.836841967380328e-05,0.4560299920742993,0.011638668380055967
RM16,7.914169816424039e-05,0.4557585057830237,0.011638668380055967
HEAT1,7.038598773909811e-05,0.458990835611272,0.011638668380055967
GTPB8,7.698907174505487e-05,0.45652060982356074,0.011638668380055967
MYO1D,8.892019750225116e-05,0.4525261759547753,0.011779703164110724
L2HDH,9.983240817690722e-05,0.4492938461265269,0.01212618178707387
RM35,0.0001006891863806851,0.4490543899010786,0.01212618178707387
ESRP2,0.00010575129532253883,0.44767768121240265,0.012182089432915941
TRM5,0.00011859633636220823,0.4444453513841543,0.01256883972766683
GRHL2,0.0001139825051670741,0.4455665888144683,0.01256883972766683
IMDH1,0.00013290256968338926,0.4412130215559059,0.013041679939857031
DAAM1,0.00012891898117104806,0.44207878772785797,0.013041679939857031
RUSD4,0.00015482071285253797,0.43684708609794254,0.013673249290093312
RM39,0.0001665282495508134,0.4347483618994091,0.013884282990128068
RM15,0.0001665282495508134,0.4347483618994091,0.013884282990128068
CGAS,0.0001761062118942711,0.4331321969852849,0.013928161445190188
BAG5,0.0001862004521837334,0.43151603207116074,0.01429965501625512
SURF2,0.00019702851344472863,0.42987148392472185,0.014500751288105792
RPIA,0.00019702851344472863,0.42987148392472185,0.014500751288105792
STRBP,0.00020804191083007711,0.42828370224291235,0.014777531711601663
SI1L1,0.0002091554780845678,0.4281275833814167,0.014777531711601663
SPB5,0.00021984415838785358,0.42666753732878815,0.015276319286351451
SHRM2,0.00023227283612193802,0.4250513724146639,0.015478040209857095
PSB7,0.0002736311479012488,0.4202028776722913,0.016666338537111695
RM01,0.00028888624551990006,0.41858671275816717,0.017008980166777224
PAPOA,0.00028888624551990006,0.41858671275816717,0.017008980166777224
AF1L2,0.00032454537585999816,0.41510059394213317,0.018295382411512025
CD109,0.000321816367644023,0.4153543829299187,0.018295382411512025
RT02,0.00033956906033439825,0.4137382180157945,0.018550272687752334
DDX49,0.0003582347409403886,0.4121220531016703,0.018610646002383522
EXOS1,0.0003582347409403886,0.4121220531016703,0.018610646002383522
AT1B3,0.00037785651852593116,0.41050588818754613,0.019252516266047202
RIOX2,0.0003929578621138667,0.40931462414438785,0.019734036908971762
RT23,0.0003984793261483258,0.40888972327342193,0.019734036908971762
CADH3,0.00044128323302898873,0.4057707745846962,0.020722853713058414
A0A1W2PP11,0.00044128323302898873,0.4057707745846962,0.020722853713058414
TENS4,0.0004629932408204264,0.4042953724078477,0.02114310158530485
ITB8,0.0004718341512313019,0.4037129757751445,0.021159209865186122
TM10C,0.0005874329623308738,0.396911150685467,0.024309037683031987
CACL1,0.0005907056809111241,0.39673737360192385,0.024309037683031987
SYLM,0.0006055468907643372,0.39596040396042836,0.024309037683031987
GMEB1,0.0006245012843785139,0.3949934730586187,0.024695763477027947
RM21,0.0006375361602872062,0.39434423904630417,0.02484047142177872
NOL10,0.0006375361602872062,0.39434423904630417,0.02484047142177872
