ProteinID,GeneName,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean
HLTF,HLTF,-3.0993086786756634,0.001939728112903,-0.6930264888773836,0.1969563975510502,-1.9437742663766733,1.7747641809976735
MICA1,MICAL1,-3.023715784073818,0.0024969089151415,-0.6761234037828133,0.1969563975510502,-0.5991163154641275,1.4192755268619912
BACH,ACOT7,-3.023715784073818,0.0024969089151415,-0.6761234037828133,0.1969563975510502,-0.8195573481368541,1.144596510213709
RNF14,RNF14,-2.982976390813066,0.002854600133286,-0.6670137985134995,0.1969563975510502,-0.7519679827574969,1.2076312281610866
KTNB1,KATNB1,-2.872529994870127,0.0040719942177327,-0.6423172335936725,0.1969563975510502,-1.1212760429687996,1.167929376050131
IP3KA,ITPKA,-2.840187787218772,0.0045086983649042,-0.6350852961085882,0.1969563975510502,-0.8530217564894631,1.4573513972500345
AP1M1,AP1M1,-2.796937100268281,0.0051589575707213,-0.6254141484991023,0.1969563975510502,-0.6281271470664288,1.243997757985952
CCD50,CCDC50,-2.796937100268281,0.0051589575707213,-0.6254141484991023,0.1969563975510502,-0.6925230868287617,0.9611296213508116
GRDN,CCDC88A,-2.781517949836592,0.0054105338560848,-0.621966321647047,0.1969563975510502,-1.2276424664247734,1.186362176510899
PTPRG,PTPRG,-2.6932157926989224,0.0070766450105697,-0.6022213590550772,0.1969563975510502,-1.4364475060036823,0.6209710302053009
NEST,NES,-2.6457513110645907,0.0081509715935026,-0.5916079783099616,0.1969563975510502,-0.5157873069914876,2.0194300599958828
ZN689,ZNF689,-2.619393916499753,0.008808616519374,-0.5857142857142856,0.1969563975510502,-2.286080069887656,0.5115333466542841
PUR4,PFAS,-2.4945655218609,0.0126111440993139,-0.557801808120821,0.1969563975510502,-0.4653285487278576,1.1733622639673709
TPP2,TPP2,-2.4056261216234405,0.0161447780943683,-0.5379143536399189,0.2063299106351576,-0.6729778771581959,0.8364632648119694
DCLK1,DCLK1,-2.4056261216234405,0.0161447780943683,-0.5379143536399189,0.2063299106351576,-1.7335557607583367,1.539435091046038
BORC6,BORCS6,-2.4056261216234405,0.0161447780943683,-0.5379143536399189,0.2063299106351576,-1.2128631928403792,0.638441763088629
A0A0C4DFS6,SPRY4,-2.343379732657209,0.0191099222068444,-0.5239956379316802,0.2063299106351576,-0.6708514428572278,1.1325805273768423
TNG6,TANGO6,-2.251705007010574,0.0243409200439915,-0.5034965460952285,0.2063299106351576,-0.7578642008265807,0.923510377994338
PHAG1,PAG1,-2.2131760318935654,0.026885511853408,-0.4948812053487254,0.2063299106351576,-0.9950593603956348,0.6568176254400386
MPU1,MPDU1,-2.198822736959809,0.0278905291202465,-0.4916717110314273,0.2063299106351576,-2.05686005556242,0.933690846979719
ZIC2,ZIC2,-2.194690562850869,0.0281858021479073,-0.4907477288111818,0.2063299106351576,-0.6009822423192438,0.879802688456279
MOG1,RANGRF,-2.163402849872905,0.0305102085804401,-0.4837515835032587,0.2064051134903642,-0.0355725555432348,0.920564582836696
CP250,CEP250,-2.163402849872905,0.0305102085804401,-0.4837515835032587,0.2064051134903642,-0.8891133010923742,0.4778168635734698
ARRB2,ARRB2,-2.122891110412088,0.0337629775534036,-0.4746928831711439,0.2064051134903642,-0.9592700439315324,1.5386907784576516
FLCN,FLCN,-2.116950987028628,0.0342640077348691,-0.4733646312031287,0.2064051134903642,-0.7580350138343318,0.76571743051345
ANXA5,ANXA5,-2.1166010488516727,0.0342937210364927,-0.4732863826479693,0.2064051134903642,-0.3858138974319834,0.712714741789681
KDM8,KDM8,-2.100420126042015,0.0356919001168044,-0.4696682183138621,0.2064051134903642,-0.6822609869448691,0.4121348406732075
ZN771,ZNF771,-2.0830952244882406,0.0372425445959793,-0.465794252556089,0.2064051134903642,-0.515312187646579,2.342176422622938
A0A087WT23,UBXN8,-2.0830952244882406,0.0372425445959793,-0.465794252556089,0.2064051134903642,-1.364534293213398,0.488588964603153
ABHD6,ABHD6,-2.0830952244882406,0.0372425445959793,-0.465794252556089,0.2064051134903642,-1.3175756877522111,0.2435742243206896
WWTR1,WWTR1,-2.075100692735236,0.0379772035555273,-0.464006620911289,0.2064051134903642,-0.8811175111444679,0.7743459369197941
ITA1,ITGA1,-2.075100692735236,0.0379772035555273,-0.464006620911289,0.2064051134903642,-0.3001353043850688,1.031508500254593
F5GXR3,PTMS,-2.008316044185609,0.0446097180249395,-0.4490731195102493,0.2064051134903642,-1.3738004930177687,0.5101350585113017
EOGT,EOGT,-1.9867985355975657,0.0469447269784818,-0.4442616583193192,0.2064051134903642,-0.3279994382699197,0.7757925865866366
ARK72,AKR7A2,-1.9867985355975657,0.0469447269784818,-0.4442616583193192,0.2064051134903642,-1.2339209914551827,0.4771985916547163
FRM4A,FRMD4A,-1.967367712016672,0.0491408339118511,-0.4399167940807507,0.2064051134903642,-0.7076103634775961,0.4788486695551229
SIAH1,SIAH1,-1.9245008972987525,0.0542918283668546,-0.4303314829119352,0.2182733848929759,-1.6163499069962834,0.5947611372205759
AR2BP,ARL2BP,-1.898496378459896,0.0576307243947685,-0.4245166957273495,0.2182733848929759,-0.6505573594268331,0.800128084435693
PHC2,PHC2,-1.898496378459896,0.0576307243947685,-0.4245166957273495,0.2182733848929759,-1.0257597807176149,0.4270478951940121
E9PGC8,MAP1A,-1.898496378459896,0.0576307243947685,-0.4245166957273495,0.2182733848929759,-0.0020273359721325,1.274667591118297
F8W6H6,MYO5A,-1.898496378459896,0.0576307243947685,-0.4245166957273495,0.2182733848929759,-0.9448183124488804,0.4481736301401281
ARH40,ARHGEF40,-1.898496378459896,0.0576307243947685,-0.4245166957273495,0.2182733848929759,-0.8056080360323039,0.9774554315569942
ITB5,ITGB5,-1.889822365046136,0.0587817213553588,-0.4225771273642583,0.2182733848929759,-0.901376607442806,0.3710576427553532
NEMF,NEMF,-1.889822365046136,0.0587817213553588,-0.4225771273642583,0.2182733848929759,-1.293531307556609,0.5377662368024004
METL9,METTL9,-1.889822365046136,0.0587817213553588,-0.4225771273642583,0.2182733848929759,-1.507240686797483,0.6955840979054344
A0A0A0MSY4,DOCK9,-1.8779421361337696,0.0603890813092702,-0.4199206274206273,0.2226847373279339,-0.5339704345692621,0.7566735592566651
Q5VZU9,TPP2,-1.8142294704442907,0.0696424047983281,-0.4056740422696879,0.2391735422788913,-0.1265308002818156,0.9968127042626924
SOGA1,SOGA1,-1.8101942213222264,0.0702656734378663,-0.4047717331353797,0.2391735422788913,-0.9245344119490828,0.2840902299099452
B1AK44,MAD2L2,-1.7853571071357126,0.0742034113297551,-0.3992179855667828,0.2493798190892403,-0.5790676226233314,0.63059172699814
TRPV2,TRPV2,-1.7320508075688772,0.0832645166635503,-0.3872983346207416,0.2581845580880239,-0.2141955737393398,1.5698933116431857
