feature,p-value,effect_size,q-value,in_group_gene_effect_mean,out_group_gene_effect_mean
RSAD1,5.577763535968691e-08,-3.009035131572602,2.3259273944989443e-05,-0.5910453189503335,-0.27676219968196164
FBXL6,2.9496450089932337e-06,-2.4427113086016745,0.00041000065625005944,-0.4652727127779501,-0.11539006117578911
CDK4,8.299742831879002e-06,-2.295082067709763,0.000865248190223386,-1.155325256843995,-0.5137516531449724
PSMD10,1.6863279761276656e-05,-2.193403049816521,0.0013328310093304718,-0.453537110434433,-0.011177036994349885
IL9R,1.9177424594683048e-05,-2.1748947335874846,0.0013328310093304718,-0.509950984626634,-0.17004350318745784
SIMC1,9.599573190338527e-05,-1.9406549685637235,0.003639110927610151,-0.45239951203159695,-0.08056209570677807
H1-2,0.0002129977825231866,-1.8224152042145647,0.006595716352977173,-0.5402331008008594,-0.2560994160598818
ZBTB45,0.0002214389183253727,-1.816597160462906,0.006595716352977173,-0.3251497940733748,-0.047905917917157814
LTB4R,0.0004392116196363253,-1.7131379692690403,0.01166709829610418,-0.56642215170065,-0.30701144194185753
MAP3K11,0.00045953403092284414,-1.7062365608257606,0.01166709829610418,-0.4821659927721125,-0.25154179730257337
GOLGA6B,0.000564908963448484,-1.6746176656554057,0.012345907798550545,-0.6304592632287975,-0.35187936608502723
ISG15,0.0006513428574774868,-1.652694470177267,0.012345907798550545,-0.3419939507466276,-0.06291214336437448
HNRNPA0,0.001302161708875053,-1.5444743586435297,0.0201111641704036,-0.5175905438628249,-0.18232170401949305
IRF2BPL,0.0018614647071224766,-1.4875071216315556,0.025874359429002427,-0.28110807685946604,-0.03603775964732388
ANP32E,0.003683914441648777,-1.3760604966152772,0.04655128248992546,-0.41287754612541816,-0.19609604160726812
HMCES,0.003857911389618082,-1.3683853600348896,0.047316148513845295,-0.34722322134548816,-0.14937887549544238
SETX,0.004715169949179988,-1.334784104299282,0.052592508693913895,-0.4413537587646783,-0.22338091059634643
ESRRA,0.007104771189482722,-1.2648725328865436,0.06528158113602638,-0.5682568966847987,-0.31667982277179635
TCF7L1,0.008269798433948388,-1.2385093094512107,0.07037767238686689,-0.4884771445378151,-0.26813461390046633
FOXA1,0.008562786931837511,-1.232426054558461,0.07141364301152484,-0.3814497740574005,-0.07769572176044769
SLC33A1,0.009728598727342677,-1.2099950840445204,0.07654388055286598,-0.8732033651243502,-0.40522216093531466
PRRC2A,0.010015209491551078,-1.204863978614913,0.07733967329586666,-0.6338674384151163,-0.33807998144822576
HNRNPR,0.012628776597666298,-1.163484682103691,0.08493870711656204,-0.47752640270887525,-0.27402858287779286
