,D1,D2,D3,D4,D5+D6
ARI score,,,,,
P1,-0.0188840971794391,-0.06609614954227191,0.4721514531862827,-0.06423966155143075,-0.07919790277330635
P2,-0.08746697974757851,-0.059657800434058446,0.21045721787773275,0.006801032565528197,-0.06649395509499137
P3,0.04852668967932363,-0.06180214381420277,-0.06739010395409695,0.010031376680484622,-0.005905110975361434
P4,-0.11131237583265163,-0.06643365629256509,-0.11108252224755787,0.26338995823279004,-0.042462894792374965
P5,-0.013033175355450236,0.10592788755347321,-0.050716863357066225,-0.024608286071325577,0.2631427750646366
Cluster Matching,,,,,
P1,,,paired,,
P2,,,paired,paired,
P3,paired,,,paired,paired
P4,,,,paired,
P5,paired,paired,,,paired
