,D1,D2,D3,D4,D5+D6
ARI score,,,,,
R1,0.20884457417405006,-0.06434932490663603,0.2484787018255578,-0.06907432839045165,-0.07004423366318574
R2,-0.03851640513552068,-0.0343811394891945,0.14032670734107458,-0.030500733974881747,-0.028076743097800654
R3,-0.11812605469691694,-0.06609614954227191,0.043662632831618114,0.282795010693601,-0.07919790277330635
R4,0.01602147744002771,-0.00929072218159921,0.1313201484922823,0.031646810271600635,0.2731018246027075
Cluster Matching,,,,,
R1,paired,,paired,,
R2,,,paired,,
R3,,,paired,paired,
R4,,paired,,,paired
