Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
DLK2,4.149518072233049,0.3810148904724377,7.96271886804302,1.461768771641426e-09,1.742282198919416e-05,10.785428730796392
FAT2,7.474588842041375,0.18756979448799338,7.55845687795549,4.939948255508736e-09,2.9439621628704312e-05,9.943733322493163
TMEM40,4.9102543187425765,1.3216799175864573,6.345368256614428,2.0762821291426077e-07,0.0008249068899083581,6.825463690515447
C1orf74,1.9384570749811636,3.440794048078759,5.858956273709088,9.500227185285837e-07,0.0028308301955355473,5.5824772716521505
FEZ1,4.571850560760481,-0.6443857047433966,5.712845108227293,1.5010123967275805e-06,0.0035781133513192068,4.640410855834693
DMGDH,4.0531563063987175,-1.2494660162081865,5.634110483570502,1.920465725539746e-06,0.0038150051637847056,4.011137175773954
SEMA4A,3.5172069964009625,1.1868828280587937,5.512088911411496,2.8130639978755898e-06,0.00421070697736721,4.45838728065277
CEL,3.9171027544739507,-0.1217195800784105,5.500446254203416,2.9173529185024416e-06,0.00421070697736721,4.158123124965202
HES2,4.132811923679078,1.736211880411855,5.472921501303954,3.17949180269359e-06,0.00421070697736721,4.408905748297201
ZNF317,0.9381376078413659,5.05312832083553,5.328399961161926,4.9932164947526834e-06,0.005410377036450658,4.062090150964015
KRT15,3.1461702240107554,3.886156215494686,5.338858101829512,4.832897223848115e-06,0.005410377036450658,4.09060612485748
LYPD3,3.22800010709019,2.500880021477105,5.242698888210453,6.522839242769923e-06,0.005980440071890362,3.7886343305693995
RAPGEFL1,2.4688534742364525,3.4415451988928294,5.253388017137845,6.309142247561862e-06,0.005980440071890362,3.837614962986266
ZNF440,1.777280744305263,3.2934404036815055,5.198611964129324,7.482962049823194e-06,0.006370673190845904,3.673806909211285
CKMT1A,4.138183069984416,1.8175834589879665,5.057521144046496,1.1603068164648505e-05,0.00679390047782121,3.24680381140408
PTGS1,4.237238033496752,1.5959099938439532,5.079170330082503,1.0848782774569945e-05,0.00679390047782121,3.2997027093231424
RNF144B,4.05881842985827,2.439073833296277,5.032492808420787,1.254013008742903e-05,0.00679390047782121,3.1925905614493795
AQP3,4.38663360964491,3.8311101361138267,5.050289189640077,1.186645652324918e-05,0.00679390047782121,3.2554848279620687
ST6GALNAC2,3.8401889420353066,1.313833041505316,5.119115097011302,9.582546973846266e-06,0.00679390047782121,3.3925897278805763
LRP4,3.6664689276227005,0.9026699508050715,5.143285358042585,8.888804907085896e-06,0.00679390047782121,3.3922541669377972
CD14,3.458077858983551,0.8700668584487647,5.068733213939101,1.120614737357882e-05,0.00679390047782121,3.176455426712179
PLEKHF2,1.666881637266898,4.871883915637487,5.045130490140176,1.2057953200628637e-05,0.00679390047782121,3.2364329620164227
SOX15,3.4539086370836185,0.27195556948098953,4.9862226849393,1.4474414993589505e-05,0.0075008935786344925,2.919217416271602
FEM1B,1.2794151854831544,6.404567825965164,4.881036717817769,2.0041401819354374e-05,0.009608621878584581,2.755078057201896
LYPD5,3.502119611187134,-0.22929954924907456,4.879222863095731,2.015400175892395e-05,0.009608621878584581,2.5345895624238564
DUOX1,3.4398757667093443,0.6259360626209144,4.831720418537142,2.3336371295177467e-05,0.010697931133354623,2.4956132116213077
KRT16,4.708374240122378,1.6731435123917984,4.733010948914865,3.162381916611104e-05,0.013478260682443581,2.337385764351076
ZNF385A,1.9587004700544073,3.6359952341701467,4.732608044412872,3.1663000176895735e-05,0.013478260682443581,2.347471898620989
IL1RN,4.395082360660604,2.0363780768457174,4.711672564351225,3.376624531181545e-05,0.013877926823156151,2.284278892192127
RHOV,3.2099048774246364,3.0939634908294624,4.682109318188004,3.697307628484768e-05,0.014689403207969983,2.206274112616656
MCC,2.882831533925666,2.4512225862715753,4.603628917108899,4.7017282898476665e-05,0.018077386931191722,1.9835420296503212
STARD5,2.274265244655599,1.0271189245788666,4.587445445838838,4.9401122775170845e-05,0.018400374448664415,1.8204717809544384
KREMEN1,2.560647205039599,3.299118946876446,4.569783345301593,5.213880133795414e-05,0.01883158706506289,1.8892152083895786
ARHGEF37,3.147313562447022,2.238609423492107,4.466186377026236,7.147746945907103e-05,0.02434114167093336,1.603623481774231
CASP1,3.695292877409612,1.827469234635739,4.411671750481588,8.433046320338343e-05,0.027920410858920195,1.451930744792893
PROM2,4.333425448555681,3.3037011754214207,4.3225994079620245,0.00011037598115199655,0.03291597527791406,1.198692917352238
KLHL35,3.7834080810543425,-0.2398241486070951,4.330892081712416,0.00010765063857655938,0.03291597527791406,1.040521214824511
LCP1,4.906766617201263,3.507110804986309,4.2798356490680085,0.000125540515076483,0.035890574227613464,1.0801273142927572
RAB38,3.6728160564460666,2.3051163964553387,4.257471390279063,0.00013426606877909146,0.0366898846043882,1.0316222732100977
FAM83B,3.8477643977044473,1.5094938736541925,4.254562398861175,0.00013544382268588647,0.0366898846043882,1.024231255991018
ESPN,3.180968470064843,0.9015363054573426,4.23647849600945,0.00014299567900909635,0.037874788846875986,0.9524014074446514
HEY1,2.848099169428229,0.7114433645363744,4.208993892677725,0.0001552690814109662,0.04023156915950666,0.8476625752170612
DENND2C,2.5378696493708133,1.6961166816126079,4.186145598671532,0.0001662519547947452,0.0421607882808206,0.838767428418576
SENP8,1.0519377338841231,1.850500677331232,4.176253035425955,0.00017123965664768542,0.042520777957438104,0.7689954773971115
MCOLN3,3.1165981394066535,0.9355698633919738,4.166730395316005,0.00017617894538982906,0.042520777957438104,0.7752187163653872
ZNF436,1.2677730452939566,3.882034319164503,4.151984506383015,0.0001841035493422898,0.04302608244334809,0.7225591414128951
HAP1,3.7715217934631533,-0.16325261512477926,4.142825085119637,0.00018920024960123632,0.043366880288406455,0.6510750771331422
ZNF426,2.5746021003252966,2.7034187192285826,4.123233573577457,0.00020056904380134785,0.04510532892581632,0.664984054194834
PTAFR,2.953997944092496,1.9884463855092465,4.089307761383928,0.00022185382050856424,0.04896806827114032,0.5811506971211502
SH3BP1,1.9104918730804181,3.53800707905417,4.082565330380843,0.00022633926995569207,0.04904977742912534,0.5368229285870587
GUF1,0.8675373095134642,5.389007478917039,4.069878538097254,0.0002350204375262271,0.050021582051341086,0.46045602396988805
IRF6,4.418693899023532,3.9693206461982746,4.056675841531631,0.00024439943804658643,0.05110520880837305,0.45813356510522407
TLR5,2.7913307932721496,0.38827438889898175,4.038970482393046,0.00025755203244564055,0.052926942667579135,0.3644622784951732
C2,3.1170999028740343,-0.02875643570379285,4.009190520271403,0.0002812467269156178,0.056816605730631325,0.25825229238043423
MUC16,5.111349276876578,2.1120048841813315,3.9820123369474225,0.0003047162150919091,0.06053187612800774,0.29025516670895257
TGM1,2.3746837751993173,1.2328626956336382,3.954836417121616,0.00033008642646586685,0.06075494397855933,0.17925906843469352
APOBEC3G,3.851496781078647,0.9329553358508682,3.9590922615929673,0.00032598182186189574,0.06075494397855933,0.23852032934207212
CYB5R2,3.2108319812278667,0.9789357008067119,3.970216711640289,0.00031548592607436076,0.06075494397855933,0.2618744582086263
GTPBP8,1.0118909207821467,3.728238854545278,3.953561569833057,0.00033132572855158624,0.06075494397855933,0.19754616286295246
LAPTM5,3.5883146797979313,0.22060573734492625,3.961364852162381,0.0003238103807417494,0.06075494397855933,0.23012440514028842
MMRN2,2.691423376096655,0.37385087745830453,3.9229025888017075,0.0003625310643401065,0.06351266437017014,0.11738658195012075
FXYD3,5.12597220255288,3.650443742140064,3.918092271864593,0.00036767965781875497,0.06351266437017014,0.09523209891729234
CKMT1B,3.2594171337400417,1.7166339642158448,3.919369971389779,0.00036630521432837095,0.06351266437017014,0.13315840458800832
CLEC2D,1.560494919909479,2.0396957644120763,3.8580829225463416,0.00043819543581749256,0.0746121628501242,-0.023794209631599728
TESK2,1.665027671577582,1.3954056003351658,3.8124262399157716,0.0005004741421601463,0.08284932361676088,-0.14589894302082485
BARX2,3.644615646509177,1.4331631894691241,3.8126512023575905,0.0005001471941194563,0.08284932361676088,-0.14106947811687487
IL1A,4.84375121888975,1.3445510777873262,3.7643844262035384,0.0005752536273237169,0.0939239449872792,-0.2681906227825497
