,feature,corr,p-value,q-value
PTK2B,PTK2B,0.28132504001920067,3.514515021115585e-17,2.855543454656413e-16
NPL,NPL,0.22136181518345718,4.734694486013284e-11,2.797774014462395e-10
XK,XK,0.14334301601756505,2.345599825431996e-05,6.605779383008692e-05
FAAH,FAAH,0.14304785929673944,2.439057002957056e-05,6.605779383008692e-05
FBXO16,FBXO16,0.09482675830570605,0.005277662343960825,0.010915452956189878
LAMP3,LAMP3,0.08987573635095117,0.008209671363816923,0.015412276395986087
XBP1,XBP1,0.08975170712702954,0.008298918059377124,0.015412276395986087
CYP2J2,CYP2J2,0.08890752961122889,0.008929719699942454,0.016123105013784986
CLTRN,CLTRN,0.08744266657266819,0.010126341823680345,0.017789519419978986
MAL2,MAL2,0.08696091851976534,0.010549917948621588,0.018045912280536928
CARD14,CARD14,0.08566631271316959,0.011767140371629929,0.019611900619383216
CREG1,CREG1,0.08392521105273193,0.013599541653974048,0.022099255187707827
TMPO,TMPO,0.07161206228700742,0.035325155285944904,0.05237717431110575
SLC3A2,SLC3A2,0.06822095322999522,0.04499393635779696,0.06357838833166961
ZMYND15,ZMYND15,0.03921491090336671,0.24954615672977268,0.30604717334783443
EPSTI1,EPSTI1,0.03696646269575779,0.27775092516268673,0.328759690223171
ZHX2,ZHX2,0.02955423341200012,0.38558850050597193,0.43970618478751183
ABRAXAS1,ABRAXAS1,0.027376221090256326,0.42158242669972423,0.47246306440486335
FHAD1,FHAD1,0.02624953274505169,0.44094922675957077,0.4765036201264459
TFRC,TFRC,-0.005262248837395336,0.8772509639854129,0.8772509639854129
APAF1,APAF1,-0.007840339349808118,0.8179924108999178,0.8307735423202289
NCOA7,NCOA7,-0.009402558678967084,0.7825606359149732,0.8074038307059247
CXCL16,CXCL16,-0.016058407600779027,0.6373794649914649,0.6682204068458906
PSME2,PSME2,-0.02589310233883791,0.44718032042635697,0.4765036201264459
PSIP1,PSIP1,-0.026207865967884166,0.4416750687356743,0.4765036201264459
CDCA7L,CDCA7L,-0.032501605774476236,0.33997369997047155,0.39461233032286874
IFNGR1,IFNGR1,-0.03693339574670148,0.27818127634268314,0.328759690223171
ELOVL3,ELOVL3,-0.04377978708906678,0.19857882560561227,0.24822353200701533
HLA-B,HLA-B,-0.047500542565138214,0.1630184845803408,0.2077686568180814
CARD6,CARD6,-0.04851222325792606,0.1542332873305269,0.20050327352968497
INPP5F,INPP5F,-0.05040939347454345,0.1387335388002076,0.1840342861635407
MEX3B,MEX3B,-0.057672310182620166,0.09023320505483981,0.12219079851176223
EMC10,EMC10,-0.06772784477474787,0.046570297048320136,0.06440572996044275
PPIP5K2,PPIP5K2,-0.06898079113947167,0.0426529584284102,0.06160982884103696
CLDN1,CLDN1,-0.07156143405761353,0.035455317995210046,0.05237717431110575
PARPBP,PARPBP,-0.07498951083285775,0.027514117140831875,0.04258137176557314
TMX4,TMX4,-0.07525535712194473,0.026967937560164367,0.04258137176557314
HLA-A,HLA-A,-0.09429055620764938,0.005541691500834861,0.010915452956189878
LRRC20,LRRC20,-0.09456086619720158,0.005407137386836359,0.010915452956189878
HLA-C,HLA-C,-0.09850825296347247,0.0037507232939749256,0.008126567136945671
PIP4K2A,PIP4K2A,-0.10672306701002968,0.0016811979827229468,0.0037682023750686736
STMN3,STMN3,-0.10785793707258304,0.0014981604544635492,0.003477872483576096
RAB11FIP2,RAB11FIP2,-0.1091572038563533,0.0013112084730808626,0.0031566129907502245
ZNF630,ZNF630,-0.1102151131230616,0.0011751269261351864,0.002937817315337966
AP1S2,AP1S2,-0.12038653313157635,0.00039051895636186743,0.0010153492865408553
SLFN5,SLFN5,-0.16058616259468567,2.0929209643512753e-06,6.18363012194695e-06
PCBP4,PCBP4,-0.1694535712546887,5.444119922211912e-07,1.6850847378274965e-06
ATP8B3,ATP8B3,-0.19199239278890162,1.283633667635166e-08,4.17180941981429e-08
ABI2,ABI2,-0.1983573035940796,4.088392945612183e-09,1.398660744551536e-08
STARD8,STARD8,-0.20744471613850046,7.467068880502607e-10,2.696441540181497e-09
SLC35A2,SLC35A2,-0.2111750848031584,3.6314357271345234e-10,1.3884901309632001e-09
CRY1,CRY1,-0.21420105346348398,2.003697786796662e-10,8.140022258861439e-10
KATNAL1,KATNAL1,-0.21461782488409364,1.844851156471161e-10,7.99435501137503e-10
STX2,STX2,-0.21496017535395123,1.7236175184083048e-10,7.99435501137503e-10
ZEB1,ZEB1,-0.21548377573533561,1.553086962422848e-10,7.76543481211424e-10
UHRF1BP1L,UHRF1BP1L,-0.2169612275713495,1.1558508443592876e-10,6.260858740279475e-10
AP1M1,AP1M1,-0.2219526583982064,4.19393893966873e-11,2.7260603107846743e-10
F2R,F2R,-0.22904277604827578,9.526286060272284e-12,6.880095487974428e-11
HABP4,HABP4,-0.28677793636034843,8.072449784716773e-18,7.495846228665574e-17
IKBIP,IKBIP,-0.2948539490160887,8.605317533409766e-19,9.322427327860579e-18
TRPC1,TRPC1,-0.29977630479917355,2.1220157797147993e-19,2.758620513629239e-18
FGFR1,FGFR1,-0.30612110161983686,3.3540233872907976e-20,5.450288004347545e-19
MYBL1,MYBL1,-0.3145858637042564,2.6648189354087726e-21,5.77377436005234e-20
DOCK1,DOCK1,-0.32246984448382476,2.338043207738091e-22,7.598640425148795e-21
KANK2,KANK2,-0.3428530583543631,3.076602173269043e-25,1.9997914126248777e-23
