,feature,corr,p-value,q-value
SERPINB2,SERPINB2,0.06621678607755863,0.05169247033062855,0.09551602092327405
FAM53C,FAM53C,0.06583339495824153,0.05306445606848558,0.09551602092327405
EXOC1,EXOC1,0.05388458660495605,0.11348213668894311,0.17022320503341468
PRSS3,PRSS3,0.04678739184011302,0.16943412438206637,0.21244699114963472
RAMP1,RAMP1,0.031987007686473966,0.34767873945479705,0.34767873945479705
OSBPL3,OSBPL3,-0.03918854314726622,0.24986489377936869,0.26456282870756687
NAALADL2,NAALADL2,-0.03967561767153299,0.2440228050869921,0.26456282870756687
LDHD,LDHD,-0.04596774543212427,0.17703915929136227,0.21244699114963472
GRHL3,GRHL3,-0.04866101831022246,0.1529720692693484,0.21180748052679008
SDR16C5,SDR16C5,-0.0556930322108389,0.1018534046737246,0.16666920764791296
SLC44A4,SLC44A4,-0.06780525118256853,0.04631981752327822,0.09551602092327405
TXK,TXK,-0.0859194644221863,0.011519776141731497,0.029622281507309563
TSPAN9,TSPAN9,-0.09373172899011425,0.0058294688768102286,0.01748840663043069
DUSP14,DUSP14,-0.10701486184042394,0.0016322701943938217,0.005876172699817757
IL23A,IL23A,-0.11423967567670469,0.0007679240205493549,0.003455658092472097
MACC1,MACC1,-0.11780753179241307,0.0005206589716932469,0.0031239538301594816
NIPAL1,NIPAL1,-0.12027984543672163,0.0003952375200744857,0.0031239538301594816
ABHD11,ABHD11,-0.1283912575826613,0.00015425024261699944,0.00277650436710599
