feature,p-value,effect_size,q-value,in_group_gene_effect_mean,out_group_gene_effect_mean
PCBD1,1.69241733618095e-10,-2.4459246474709033,1.3031613488593317e-07,-0.2597171609025159,0.05207284083624824
HNF1B,4.747496605494765e-10,-2.3836304754965822,1.8277861931154845e-07,-1.3812872109428722,-0.36091537841159677
UXS1,7.279398146619168e-07,-1.8898210068881127,0.00018683788576322533,-1.0677844360601934,-0.4022357100197975
KHSRP,3.5111035383370137e-06,-1.7682561293403294,0.0005673070598972935,-0.6725070211011399,-0.25346005019916146
KPNA2,3.93489768479882e-06,-1.7591642383260448,0.0005673070598972935,-0.7762124970736183,-0.3870831040460316
DYDC2,4.420574492706183e-06,-1.7498353704143554,0.0005673070598972935,-0.21305680727162576,-0.03052479937990081
LRRC20,1.2479789347824556e-05,-1.664615529274672,0.0013727768282607012,-0.16576539134806814,-0.017355196776932796
SH3BGRL3,2.0138663914088012e-05,-1.6240004881908794,0.001938346401730971,-0.25564169925513147,-0.04429302991688664
AHCYL1,3.31595785742761e-05,-1.5807019925976693,0.0028369861669102887,-0.8752266179027036,-0.3678292492697206
CMTM5,5.981032280820706e-05,-1.528106754437286,0.0046053948562319435,-0.2954725094467922,-0.13067322850285099
ONECUT2,8.065695291755194e-05,-1.5008297205429455,0.005630678470594953,-0.08248617755868579,0.10237517300935817
ATRN,8.775083330797329e-05,-1.493061810829834,0.005630678470594953,-0.40909672762344446,-0.17546323593789898
MMADHC,0.00010947298702174096,-1.4725109470392301,0.006484169231287734,-0.27190728145916493,-0.08892299559905094
PRKCI,0.00013833623380339627,-1.4504924932949665,0.007608492859186795,-0.41287182265382333,-0.12848734030228764
SQSTM1,0.00017859333099233811,-1.4261229329156018,0.008425862113277036,-0.26963728205555454,-0.06808505007214577
MBTD1,0.00018076734665677143,-1.4249595849467855,0.008425862113277036,-0.6416516182784565,-0.40767870176227444
KSR2,0.00018602552717624627,-1.422199422422321,0.008425862113277036,-0.17295284603844338,-0.0029627549029473963
KCNH1,0.00022081135577539646,-1.4055997517206789,0.009445819108169736,-0.00964052492560759,0.1355416755017796
GLIS3,0.00028115358505667945,-1.3819135086059346,0.011007011837128888,-0.016989361959849337,0.14584077157505004
ANXA7,0.0002858964113539971,-1.3802604360526698,0.011007011837128888,-0.27483274291392956,-0.11225415460693135
UGP2,0.00030948685200304324,-1.3724022101881017,0.011347851240111586,-0.6523616768705492,-0.3476711617365796
CORO1C,0.0004479710805097433,-1.3352248834101585,0.015678987817841016,-0.3750154825209883,-0.17088950904593445
GAREM1,0.0004999706395213016,-1.3240123006187443,0.01604072468464176,-0.2547393784317349,-0.10810391331253855
SSC4D,0.0006352527988771348,-1.2992755620677277,0.019565786205415752,-0.28197085057097404,-0.08381598100575276
PARD3,0.0007259075003166333,-1.28531978366863,0.021498029817069525,-0.424623961321147,-0.12668887589079159
EGFR,0.0008890857690742978,-1.2638555944386876,0.02535540896989664,-0.83162777372375,-0.3686296742948254
SLC12A7,0.0009352914173497591,-1.2584439715670372,0.025720513977118376,-0.25674612902676175,-0.0569840703618687
VAC14,0.0009763647159117827,-1.2538378098734093,0.02592416659489906,-0.37046335420595866,-0.12779648069288344
SLC3A2,0.0013453956797761857,-1.2190127485336282,0.03237358354461447,-0.7524916623240829,-0.4257685234399344
SLC7A5,0.0012974414137057837,-1.22299715382679,0.03237358354461447,-0.6986959102638076,-0.2654328838865474
NIBAN2,0.0017941491938116615,-1.1870147819144097,0.04186348118893877,-0.2643083179510018,-0.05867425752780247
H3-5,0.0019151498606449202,-1.1796582867227008,0.04337251154989966,-0.1573341298181754,0.03804270134539392
CLPTM1,0.0021247210536207866,-1.167873174784007,0.04595247262225531,-0.31736540701508514,-0.15869327673701292
ZNF205,0.0021484272914301184,-1.1666080686982,0.04595247262225531,-0.2825428622847756,-0.12396612959199843
YIF1B,0.0023103494977380645,-1.1582945695201141,0.04808024630427864,-0.19195542936128904,-0.04907235396638928
XPR1,0.002654615989805705,-1.142262179821328,0.05379090295132613,-0.6195025573002445,-0.30812302369874073
ACTG2,0.002843927170394667,-1.134241182402706,0.056149331312920346,-0.1657062278252909,-0.03372353692722489
MGRN1,0.0035579944962440416,-1.1078249415075185,0.057608472298907615,-0.13725096812120877,0.039234226658370785
RAB5C,0.0035911774939578773,-1.106718977829187,0.057608472298907615,-0.34334268561810194,-0.13704913878743186
LUC7L,0.0035780339378193673,-1.1071559245286322,0.057608472298907615,-0.16424127951184844,-0.03949392231728024
PPP1R16A,0.003539487237908786,-1.1084458626398974,0.057608472298907615,-0.09623838781360648,0.04147110314343099
AAAS,0.0035564617527841873,-1.1078762533760989,0.057608472298907615,-0.36421936115116454,-0.14396006469045766
C9orf72,0.003381690292535618,-1.1138635376052912,0.057608472298907615,-0.09257120691531132,0.04203927628642536
LENEP,0.0032966226312740265,-1.1168805486833684,0.057608472298907615,-0.1868120559391437,-0.0269338602384995
PEX5,0.0030538476393182413,-1.1258988945517285,0.057608472298907615,-0.3255928065022936,-0.1378629447379518
SENP2,0.0034166105827877122,-1.1126450500128897,0.057608472298907615,-0.3106336243064778,-0.15047911306095213
HKDC1,0.003834262564221742,-1.0988896990266876,0.060024090499264035,-0.11564962669780855,-0.00023511032660720563
PMM2,0.003897668214237924,-1.0969219115948257,0.060024090499264035,-0.655159913668524,-0.2643770754592548
HMGB1,0.004506292328659357,-1.0793850421231455,0.06727853523342701,-0.7510823113314608,-0.407167581720297
NUP188,0.004543485496283382,-1.0783845506940877,0.06727853523342701,-0.5053102923265579,-0.3147675927632592
TEAD1,0.004991660859562486,-1.0668791507670263,0.0725203558842097,-0.5501032637349811,-0.21609674558938455
SLC2A1,0.005302613696067177,-1.0594343270645152,0.07561134344392087,-0.7051653532907426,-0.3099032714704548
DNAJA4,0.0058846973342553165,-1.0465013036098578,0.08238576267957444,-0.14295838031148173,-0.015845747280224285
FPGS,0.0061386340554287445,-1.0412181168593309,0.08440621826214524,-0.8396092587872721,-0.44853808805867534
TEX264,0.006483873851642967,-1.0343429556309245,0.08758917308359798,-0.12669163426015412,-0.012610763375807387
