,feature,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean
0,GMEB1,-4.851722960585704,1.2239351211219084e-06,-0.6602358681544619,0.007381603540737554,-1.2577049399234899,0.7524583182950408
1,SMC3,-4.513935641240583,6.3635535195023354e-06,-0.6142688362667897,0.009452844913367368,-1.0759673034509034,0.6561171168853747
2,SMC1A,-4.4243734261366034,9.672259141943603e-06,-0.6020809625313376,0.009452844913367368,-1.407383630783253,0.6268590760604543
3,SMRC1,-4.3885485400950115,1.141096681961295e-05,-0.5972058130371567,0.009452844913367368,-1.4338598303929633,0.35116919769229404
4,LATS1,-4.303314829119352,1.6826148341892722e-05,-0.5856069741052554,0.012671619351294483,-0.7992245221281228,0.6880112678814659
5,VRK1,-4.137774337803868,3.506910226532978e-05,-0.5630797665778906,0.01475969086867793,-0.8207730007334447,0.9226884199041381
6,ZC3HE,-4.137774337803868,3.506910226532978e-05,-0.5630797665778906,0.01475969086867793,-1.0663562206125323,0.5132902952187716
7,AT1B3,-4.119861894783072,3.790995578179177e-05,-0.5606421918308002,0.01475969086867793,-1.2328407891756723,0.6584019886174544
8,ELP4,-4.116038060673066,3.8544068375108e-05,-0.5601218339179911,0.01475969086867793,-1.373941300026251,0.564931635329817
9,PABP2,-4.066124565720684,4.780139246463236e-05,-0.5533294675895288,0.01475969086867793,-1.4632228289573987,0.6764649532100386
10,EXOS6,-4.059604926204365,4.915581542402476e-05,-0.552442257027203,0.01475969086867793,-1.4918929657238302,0.517093095102401
11,T2AG,-4.004492313771357,6.215081175335383e-05,-0.5449423804242787,0.01475969086867793,-0.9842624149622585,0.6209498228736996
12,Q5T1Z8,-3.9944747936375,6.483781853193936e-05,-0.5435791686011671,0.01475969086867793,-0.8757242738398963,0.9258026252743434
13,RBM5,-3.9944747936375,6.483781853193936e-05,-0.5435791686011671,0.01475969086867793,-0.994669695795445,0.5012120084290272
14,SIVA,-3.9557740264262,7.628724666373345e-05,-0.5383126612499494,0.01564934138135864,-1.5308695864161697,0.5144844302112644
15,LLR1,-3.9407872210471635,8.121464280443956e-05,-0.536273215358114,0.01564934138135864,-1.1804779184580014,0.5976298779522148
16,HASP,-3.9011813193280966,9.572441657390247e-05,-0.530883534801751,0.017621801486626846,-1.5640497239049855,0.2976031986707324
17,FL2D,-3.869087692491928,0.00010924334900816925,-0.526516145371534,0.018853581316326543,-1.063697989291341,0.4567388346863979
18,EXOSX,-3.869087692491928,0.00010924334900816925,-0.526516145371534,0.018853581316326543,-1.5325916944217735,0.5525809603608156
19,ZMYM1,-3.851567793520595,0.00011736402901318122,-0.5241319891034852,0.019164932199256975,-1.7073058891736346,0.571998130563518
20,A0A5F9ZHU7,-3.851175249471132,0.00011755233749441378,-0.5240785706244436,0.019164932199256975,-1.3650750041390929,0.41034721315509337
21,SPF30,-3.8153503634295403,0.00013598984397935956,-0.5192034211302627,0.019164932199256975,-0.8583882887119436,0.5214398490656861
22,SC5A3,-3.810644092979735,0.00013860519480559465,-0.5185629788417315,0.019164932199256975,-0.9930553170210613,0.5036092571592021
23,N4BP1,-3.810644092979735,0.00013860519480559465,-0.5185629788417315,0.019164932199256975,-1.1129687401526813,0.29836121269134386
24,PLBL1,-3.8021665650304293,0.0001434362380919764,-0.5174093334108436,0.019164932199256975,-0.6646408081343663,0.5680100646237197
25,DPOE2,-3.8021665650304293,0.0001434362380919764,-0.5174093334108436,0.019164932199256975,-1.0337820235649982,0.3691058647164851
26,RBM25,-3.7616130343671528,0.0001688210962505605,-0.5118906968889915,0.019975280199698985,-1.0466794188485706,0.4900548512356348
27,DUS6,-3.758108117574137,0.000171202908519873,-0.5114137381260025,0.019975280199698985,-0.8575264063623587,0.7358702223943648
28,MGAP,-3.7427577124518288,0.00018201170772465556,-0.5093248125762992,0.02094145814987565,-1.1499249027451586,0.30007995800711196
29,MBD3,-3.689963262283969,0.00022428643988793755,-0.5021403979006297,0.02270109778734057,-1.194704480617677,0.3068963787284477
30,A0A0A0MT33,-3.6833488598732282,0.00023018978924874554,-0.5012402917417548,0.02270109778734057,-0.9205554503679819,0.5901747457209751
31,MO4L1,-3.6833488598732282,0.00023018978924874554,-0.5012402917417548,0.02270109778734057,-1.4364280095907545,0.6599064411753279
32,CA174,-3.6833488598732282,0.00023018978924874554,-0.5012402917417548,0.02270109778734057,-1.1612983837808841,0.49331070524627313
33,ZBT24,-3.659204071391786,0.0002529998138992946,-0.497954602201368,0.023816482481156323,-0.7026482076816706,0.8363472744174668
34,H15,-3.636225933221581,0.00027666169853422876,-0.4948276736593584,0.024911581637582076,-1.1406690732199016,0.28373467998384955
35,RXRA,-3.6319633663814455,0.00028127305809496554,-0.4942476117842007,0.02505447326084618,-0.8655415588823966,0.7816817591858237
36,TFAP4,-3.6088806585758886,0.00030752102878056175,-0.4911064531172355,0.026586345885889855,-1.1116781244537774,0.6547457131046699
37,NHSL1,-3.6029276249252042,0.0003146531611263108,-0.4902963478469136,0.026586345885889855,-0.9558017881386434,0.7390926230087586
38,KIF15,-3.600401047179989,0.0003177267313741062,-0.48995252416517754,0.026586345885889855,-1.1865757324030868,0.2968431094641233
39,H7C0N4,-3.5831215008596176,0.0003395125875482873,-0.4876010757500833,0.02685092666778485,-1.6878197027606123,0.5214198841285793
40,AAAT,-3.582488604159193,0.00034033646790408126,-0.4875149494180871,0.02685092666778485,-0.9350107556519722,0.793524093485558
41,M18BP,-3.5563311642029305,0.0003760699743768593,-0.48395537270306865,0.027090118849894804,-1.2784339052243097,0.44161474277369495
42,SMRCD,-3.546663718117601,0.0003901422455724944,-0.48263979992390627,0.027591204711025837,-1.0152902781149562,0.6102857426367243
43,MNT,-3.5359664624440956,0.0004062862687173712,-0.48118408781011845,0.028005907306875237,-1.9098270817081577,0.5348214948626682
44,E2F4,-3.525635762083446,0.00042246757669391977,-0.47977825755627523,0.028005907306875237,-0.7759074124174563,0.522724673911845
45,ZCHC3,-3.5249252529969604,0.000423602300519246,-0.479681569516303,0.028005907306875237,-0.8338138759105911,0.6783725467024647
46,GEMI2,-3.5249252529969604,0.000423602300519246,-0.479681569516303,0.028005907306875237,-1.0121273535507695,0.46319335310579496
47,REXO4,-3.5249252529969604,0.000423602300519246,-0.479681569516303,0.028005907306875237,-1.765431337288111,0.19289692357712782
48,ATD3B,-3.510838832076009,0.00044669513143579686,-0.4777646504297254,0.028005907306875237,-1.0259258909567275,0.7933933290370931
49,CGAS,-3.510838832076009,0.00044669513143579686,-0.4777646504297254,0.028005907306875237,-1.684780063800402,0.011890864202899917
50,GMEB2,-3.492926389055213,0.000477758187329194,-0.47532707568263494,0.02888867754624119,-1.0352853663578365,0.4840979553875974
51,RPB3,-3.492926389055213,0.000477758187329194,-0.47532707568263494,0.02888867754624119,-1.139475375979002,0.06877435428762646
52,CBX3,-3.475013946034417,0.0005108267932862481,-0.4728895009355445,0.03022635111130914,-0.7684566399082928,0.7151093090603116
53,WDHD1,-3.475013946034417,0.0005108267932862481,-0.4728895009355445,0.03022635111130914,-0.9965175425085766,0.3475521824668039
54,EXOS2,-3.457101503013621,0.0005460191421410003,-0.47045192618845405,0.031630927087384936,-1.0653402422528933,0.4311297290947469
55,GPAT3,-3.4457134495588266,0.0005695539608263161,-0.46890220840357705,0.03209649667677009,-0.6876442892031693,0.5607070130706604
56,QRIC1,-3.425910498699293,0.0006127422538925609,-0.4662073681253956,0.0338397122083065,-0.7323798987755422,0.5527272243923602
57,MPH6,-3.4033641739512333,0.000665614983207719,-0.4631392019471827,0.03534586231341503,-1.4950348556861395,0.6240993219397261
58,KIF22,-3.4033641739512333,0.000665614983207719,-0.4631392019471827,0.03534586231341503,-1.258882616817017,0.19657994769566617
59,MRT4,-3.3854517309304373,0.0007106120599741843,-0.46070162720009233,0.03611478714617265,-1.1326513105598845,0.24446241513930758
60,WDR74,-3.3675392879096413,0.0007584221935644801,-0.4582640524530019,0.03652772936911717,-1.0078117913420583,0.3095838000330465
61,RNC,-3.3675392879096413,0.0007584221935644801,-0.4582640524530019,0.03652772936911717,-1.3380633411223186,-0.09079835653909132
62,SR140,-3.3675392879096413,0.0007584221935644801,-0.4582640524530019,0.03652772936911717,-1.0936111660463754,0.5776473535105119
63,UBAC1,-3.362422096189171,0.0007726192330658186,-0.4575676908623826,0.03678378003860483,-0.8888923249192471,0.4828630987980404
64,EXOS1,-3.3496268448888453,0.0008092049501514673,-0.45582647770591145,0.03744946260924444,-0.8739532889242371,0.41014501909689716
65,ACL6A,-3.3496268448888453,0.0008092049501514673,-0.45582647770591145,0.03744946260924444,-1.273170561335781,0.20051197473543006
66,MTBP,-3.310883752038449,0.0009300183500721171,-0.4505542105647591,0.04076334397882232,-1.0322374599137183,0.5115810347656643
67,ACINU,-3.2958895158264574,0.000981105910341711,-0.4485137534646401,0.0421113023900038,-1.0277554470176458,0.7042192572890427
68,SETD2,-3.2958895158264574,0.000981105910341711,-0.4485137534646401,0.0421113023900038,-0.868357376542263,0.1731999578354168
69,Z280C,-3.2779770728056614,0.001045538874039359,-0.4460761787175497,0.04309076633105498,-1.0220242326530453,0.49699986019696507
70,KMT2B,-3.2779770728056614,0.001045538874039359,-0.4460761787175497,0.04309076633105498,-0.6836422194029461,0.7777226889114895
71,NEMF,-3.2779770728056614,0.001045538874039359,-0.4460761787175497,0.04309076633105498,-1.09648167461448,0.2814254687576028
72,PDS5B,-3.2779770728056614,0.001045538874039359,-0.4460761787175497,0.04309076633105498,-1.1517460702708866,0.13492011609618595
73,A0A1C7CYX1,-3.2779770728056614,0.001045538874039359,-0.4460761787175497,0.04309076633105498,-0.5233461097183555,0.857549151667222
74,NACAM,-3.2779770728056614,0.001045538874039359,-0.4460761787175497,0.04309076633105498,-0.8056590670736277,0.5446180734459987
75,RS5,-3.2779770728056614,0.001045538874039359,-0.4460761787175497,0.04309076633105498,-0.8811332652839765,0.24498286669956504
