,R3_ssGSEA,R3_status (thr=0.939),R4_ssGSEA,R4_status (thr=0.724),mutation_R3,mutation_R4
CCA#20,-1.7044941829889828,Rest,0.19077100467115252,Rest,WT,WT
CCA#21,-1.0017023079236433,Rest,1.1342422520297812,R4 Enriched,WT,WT
CCA#22,-1.3544389624399946,Rest,-0.3462769840105131,Rest,MT,MT
CCA#23,-1.1719979095239605,Rest,1.971386508859673,R4 Enriched,WT,MT
CCA#30,0.4043930574764471,Rest,-0.33469480329706236,Rest,WT,WT
CCA#31,-0.1427935961679042,Rest,1.2769964944493821,R4 Enriched,WT,WT
CCA#32,-0.16857401926211601,Rest,0.3069861027758572,Rest,WT,WT
CCA#33,0.5262375574202649,Rest,-0.26560941521499887,Rest,MT,WT
CCA#34,0.8801630113180094,Rest,0.6545831604210021,Rest,WT,WT
CCA#35,1.0384435373178338,R3 Enriched,-0.8076807718516053,Rest,MT,WT
CCA#36,-0.542244441175266,Rest,-1.8426733694092499,Rest,WT,WT
CCA#37,-0.9483003988846277,Rest,1.1572774715398249,R4 Enriched,WT,WT
CCA#38,0.9725182122739794,R3 Enriched,-0.3133670152544804,Rest,MT,WT
CCA#40,-0.5095012263431123,Rest,0.2677215675921646,Rest,WT,WT
CCA#41,-0.8425017519034247,Rest,1.4565854020386308,R4 Enriched,WT,WT
CCA#42,-0.14544964145930006,Rest,1.221707181183503,R4 Enriched,WT,WT
CCA#46,1.2850044523617528,R3 Enriched,-0.33390607458928095,Rest,WT,WT
CCA#47,0.9400226196661361,R3 Enriched,-0.5281912034951917,Rest,WT,WT
CCA#48,-0.6371024594729405,Rest,1.1312843218533648,R4 Enriched,WT,MT
CCA#49,-1.438315352376051,Rest,0.9345233234764705,R4 Enriched,WT,WT
CCA#50,-1.4027560203535807,Rest,0.012673440968120406,Rest,MT,WT
CCA#51,1.493006784384957,R3 Enriched,-0.32257122590903753,Rest,MT,WT
CCA#53,0.8217258216579039,Rest,0.43530356391904546,Rest,MT,WT
CCA#54,1.2347486093423892,R3 Enriched,0.5238048015739346,Rest,MT,WT
CCA#56,-0.8902215714375369,Rest,-0.3045952912723118,Rest,WT,WT
CCA#57,-1.4667501202014386,Rest,-0.15483176383157154,Rest,MT,WT
CCA#58,0.1310423573077429,Rest,-2.8114313121559156,Rest,WT,WT
CCA#59,1.3881432428021077,R3 Enriched,-1.3554895437538792,Rest,MT,WT
CCA#63,1.0152762021543218,R3 Enriched,0.18132103503984662,Rest,WT,WT
CCA#64,-0.5480434491410643,Rest,-0.23801502975013938,Rest,WT,WT
CCA#65,-1.365037395394259,Rest,0.699265530285958,Rest,MT,WT
CCA#66,-0.5310364809241935,Rest,-0.7690386873524933,Rest,WT,WT
CCA#67,-1.256458000325877,Rest,-0.7258703632573303,Rest,WT,WT
CCA#68,1.0936145805011457,R3 Enriched,0.6366246411032711,Rest,WT,WT
CCA#69,0.337252868831359,Rest,-0.4305482767023103,Rest,WT,WT
CCA#70,1.4887238466408506,R3 Enriched,-1.6171064876064434,Rest,MT,WT
CCA#72,0.4763302156341043,Rest,-0.9484682667597294,Rest,MT,WT
CCA#73,1.4135309149033572,R3 Enriched,-1.942295054239719,Rest,MT,WT
